SYMBOL BIOTYPE
A830052D11Rik lncRNA
4930518I17Rik lncRNA
4930539M17Rik lncRNA
8430436N08Rik lncRNA
1700092E19Rik lncRNA
4921520N01Rik lncRNA
4930465K09Rik lncRNA
Asns protein_coding
4933401J01Rik TEC
B230208H11Rik lncRNA
1700012J15Rik lncRNA
1700084J12Rik transcribed_processed_pseudogene
4930592A05Rik lncRNA
2310026I22Rik lncRNA
4632432E15Rik TEC
1700029B24Rik TEC
A930014E01Rik TEC
2900060N12Rik lncRNA
4930511O05Rik lncRNA
2810030D12Rik lncRNA
Adprhl1 protein_coding
Asph protein_coding
A430035B10Rik lncRNA
9930017N22Rik TEC
Airn lncRNA
Araf protein_coding
9530085L11Rik TEC
Apc protein_coding
4930480M12Rik lncRNA
Atp6v1h protein_coding
9430069I07Rik protein_coding
7330404K18Rik lncRNA
Atp4b protein_coding
Anxa7 protein_coding
AA545190 lncRNA
4930549C15Rik lncRNA
Adat2 protein_coding
Aig1 protein_coding
2610307P16Rik lncRNA
4930444K16Rik TEC
A330102I10Rik lncRNA
Acat3 protein_coding
1700029H14Rik protein_coding
4930412C18Rik lncRNA
Adgrg6 protein_coding
4930448K20Rik transcribed_processed_pseudogene
1700123O12Rik lncRNA
A230072C01Rik lncRNA
Acat2 protein_coding
2610301B20Rik protein_coding
4930413F20Rik lncRNA
1700020D12Rik lncRNA
4933409F18Rik lncRNA
AC154555.1 snRNA
4930453H23Rik lncRNA
Agtr2 protein_coding
4732440D04Rik lncRNA
Alkal1 protein_coding
Allc protein_coding
1810062O18Rik lncRNA
Agtr1a protein_coding
B230364G03Rik lncRNA
4930519D14Rik lncRNA
1700016P04Rik lncRNA
4933404G15Rik lncRNA
AF366264 protein_coding
A930001A20Rik lncRNA
2810402E24Rik lncRNA
9130002K18Rik TEC
2610001J05Rik protein_coding
Adi1 protein_coding
1110019D14Rik lncRNA
Abracl protein_coding
AV064505 lncRNA
4833405L11Rik lncRNA
6230400D17Rik lncRNA
4930401O12Rik lncRNA
Afdn protein_coding
A530084C06Rik protein_coding
1700018A04Rik lncRNA
4930433B08Rik lncRNA
Arhgef10 protein_coding
Armc1 protein_coding
Ankrd46 protein_coding
A730091E23Rik TEC
Adhfe1 protein_coding
AU018091 protein_coding
2010110K18Rik lncRNA
1700109H08Rik protein_coding
1700056N10Rik lncRNA
Arfgef3 protein_coding
2610203C22Rik lncRNA
2510017J16Rik lncRNA
1700128F08Rik transcribed_processed_pseudogene
4930488N24Rik unprocessed_pseudogene
4930444F02Rik lncRNA
5830468F06Rik lncRNA
BB014433 protein_coding
1700064H15Rik protein_coding
3300002P13Rik lncRNA
Arhgap42 protein_coding
BC002189 lncRNA
4632415L05Rik transcribed_unprocessed_pseudogene
1700124M09Rik lncRNA
1700123M08Rik lncRNA
4833413G10Rik lncRNA
1700034P13Rik lncRNA
2610318N02Rik protein_coding
4930568E12Rik lncRNA
1600012H06Rik protein_coding
Ankib1 protein_coding
2310016D03Rik lncRNA
9230106D20Rik lncRNA
Alkal2 protein_coding
4930447A16Rik protein_coding
Acp1 protein_coding
9030025P20Rik protein_coding
3110080E11Rik TEC
1700014L14Rik lncRNA
1110046J04Rik lncRNA
Arl2 protein_coding
6030469F06Rik lncRNA
AC168066.1 snRNA
1700120G11Rik lncRNA
Angpt2 protein_coding
Asz1 protein_coding
Agpat5 protein_coding
4930447K03Rik lncRNA
Ap3m1 protein_coding
Akap9 protein_coding
Atg2a protein_coding
1700019J19Rik lncRNA
Adk protein_coding
4930405J17Rik lncRNA
4933406P04Rik lncRNA
Aifm3 protein_coding
8430429K09Rik lncRNA
Agtr1b protein_coding
4930467E23Rik protein_coding
7530428D23Rik transcribed_processed_pseudogene
2610005L07Rik transcribed_unprocessed_pseudogene
Amotl1 protein_coding
6820431F20Rik transcribed_unprocessed_pseudogene
Akap17b protein_coding
Azin1 protein_coding
1700066B19Rik protein_coding
4930584E12Rik TEC
Ankrd7 protein_coding
A530072M11Rik lncRNA
4930524B17Rik lncRNA
AC156023.1 snoRNA
4933417A18Rik protein_coding
AY761185 protein_coding
2310043O21Rik lncRNA
1100001I12Rik lncRNA
Atp6v1c1 protein_coding
5330437M03Rik TEC
1700012B09Rik protein_coding
4930412E21Rik lncRNA
Ankrd49 protein_coding
Ahi1 protein_coding
A830092H15Rik lncRNA
BC002059 lncRNA
1700095K22Rik lncRNA
1700047N06Rik TEC
Arfgef1 protein_coding
4930529N20Rik lncRNA
1700011B04Rik lncRNA
1700019C18Rik lncRNA
9430041J12Rik lncRNA
A430057M04Rik lncRNA
4931407E12Rik lncRNA
Atp7b protein_coding
4930405A10Rik lncRNA
Atp6v0d2 protein_coding
Alg11 protein_coding
4930480G23Rik transcribed_unitary_pseudogene
Akap14 protein_coding
1700125G22Rik lncRNA
4933436N17Rik TEC
4931406C07Rik protein_coding
4930455C13Rik lncRNA
Aldh8a1 protein_coding
1700021A07Rik lncRNA
Acbd7 protein_coding
1700020N01Rik protein_coding
A830018L16Rik protein_coding
AU022793 lncRNA
Aass protein_coding
9330182O14Rik protein_coding
4921536K21Rik protein_coding
5430401H09Rik lncRNA
4930555K19Rik processed_pseudogene
AI463229 lncRNA
AC129214.1 snoRNA
Ankhd1 protein_coding
4930556J24Rik protein_coding
4933406C10Rik lncRNA
Atp6v0c-ps1 processed_pseudogene
Adam22 protein_coding
4930444G20Rik protein_coding
1810012K16Rik lncRNA
Atxn7l1 protein_coding
Abra protein_coding
Angpt1 protein_coding
Atp1b4 protein_coding
4930540M03Rik lncRNA
Atxn7l1os1 lncRNA
Atxn7l1os2 lncRNA
1700025O08Rik lncRNA
9330136K24Rik lncRNA
4930579J19Rik lncRNA
5430425E15Rik TEC
4930519K11Rik lncRNA
4930515G13Rik pseudogene
4930520K02Rik lncRNA
4921508M14Rik TEC
1700080N15Rik lncRNA
2410152P15Rik lncRNA
Asb15 protein_coding
Ap3m2 protein_coding
1700041G16Rik lncRNA
Ap3s1-ps1 processed_pseudogene
6030498E09Rik protein_coding
Ahr protein_coding
AC119987.1 unprocessed_pseudogene
1700112D23Rik lncRNA
9130015A21Rik lncRNA
Ank1 protein_coding
4930542C16Rik lncRNA
Agr3 protein_coding
4930428N03Rik lncRNA
4930572O13Rik lncRNA
Ascc2 protein_coding
Agr2 protein_coding
AA914427 TEC
4930548K13Rik lncRNA
6530409C15Rik lncRNA
5033403F01Rik lncRNA
A930017M01Rik transcribed_processed_pseudogene
