,Feature,Segment1.Slope,Segment2.Slope,Segment3.Slope,Segment4.Slope,Segment5.Slope,Segment6.Slope,Segment7.Slope,Segment8.Slope,Segment1.Trend,Segment2.Trend,Segment3.Trend,Segment4.Trend,Segment5.Trend,Segment6.Trend,Segment7.Trend,Segment8.Trend,Segment1.Pvalue,Segment2.Pvalue,Segment3.Pvalue,Segment4.Pvalue,Segment5.Pvalue,Segment6.Pvalue,Segment7.Pvalue,Segment8.Pvalue,Breakpoint1,Breakpoint2,Breakpoint3,Breakpoint4,Breakpoint5,Breakpoint6,Breakpoint7,AdjustedR2,X3m_s1.Trend,X3m_s2.Trend,X3m_s3.Trend,X6m_s1.Trend,X6m_s2.Trend,X6m_s3.Trend,X6m_s4.Trend,X9m_s1.Trend,X9m_s2.Trend,X9m_s3.Trend,X9m_s4.Trend,X12m_s1.Trend,X12m_s2.Trend,X12m_s3.Trend,X12m_s4.Trend,X12m_s5.Trend,X15m_s1.Trend,X15m_s2.Trend,X15m_s3.Trend,X15m_s4.Trend,X18m_s1.Trend,X18m_s2.Trend,X18m_s3.Trend,X18m_s4.Trend,X21m_s1.Trend,X21m_s2.Trend,X21m_s3.Trend,X24m_s1.Trend,X24m_s2.Trend,X27m_s1.Trend,X27m_s2.Trend,X27m_s3.Trend
Gm32352,Gm32352,-67.167,-0.013974,NA,NA,NA,NA,NA,NA,-1,0,NA,NA,NA,NA,NA,NA,0.0775433856141854,0.220400548868783,NA,NA,NA,NA,NA,NA,3.16622786623229,NA,NA,NA,NA,NA,NA,0.528197856910098,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cobl,Cobl,3.44246475070336,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1.53176478690352e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.526017368575924,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Nos2,Nos2,-0.15753,17.115,-81.999,-0.015788,NA,NA,NA,NA,0,0,-1,0,NA,NA,NA,NA,0.221678006767221,0.214565716089615,0.0663411744275786,0.441552516960683,NA,NA,NA,NA,11.9383809815621,14.5151987159408,15.0465720031196,NA,NA,NA,NA,0.525385178554479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0
Edn1,Edn1,-0.80329,178.96,-241.89,80.844,-0.71962,NA,NA,NA,0,0,-1,0,0,NA,NA,NA,0.111739207384476,0.248589805638561,0.0728030333575286,0.265374784275826,0.186697962126711,NA,NA,NA,12.0082706790476,13.7602673625887,15.7827417741388,18.0312841054722,NA,NA,NA,0.523913224546166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0
Gnb1,Gnb1,-0.33981,-861.55,85.931,-4349.9,4.3867,NA,NA,NA,0,0,0,-1,0,NA,NA,NA,0.487386574124482,0.380426197186345,0.458803536098111,0.0786170780404271,0.198620632625384,NA,NA,NA,9.00234406401003,9.2037969121515,14.9687979528391,15.0481403239772,NA,NA,NA,0.523132054251466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
Rps27,Rps27,1.2443,21001,-464.51,122.17,-49.091,NA,NA,NA,0,1,0,0,-1,NA,NA,NA,0.375710746050025,0.0972998462931717,0.38330671061695,0.450849456073988,0.0892827090417663,NA,NA,NA,15.0471631443869,15.1100185725525,18.5344523033282,22.4885651212698,NA,NA,NA,0.521996510669061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1
Bdh2,Bdh2,1.48183822941867,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,6.88366972135332e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.520883084234352,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ptgr2,Ptgr2,2.5045,-0.91305,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0.0865585500117231,0.101410602505042,NA,NA,NA,NA,NA,NA,12.0016769636691,NA,NA,NA,NA,NA,NA,0.518884712368735,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tor3a,Tor3a,2.3754,-636.35,16.886,-1652.2,0.090197,NA,NA,NA,0,0,1,0,0,NA,NA,NA,0.270942486322326,0.140678689387626,0.0730476467159224,0.130557708969907,0.46796250652906,NA,NA,NA,8.97479441348881,9.07904897231559,15.0251963764833,15.0581335611175,NA,NA,NA,0.514814583969656,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wfdc3,Wfdc3,0.93665,-0.38877,187.05,-179.92,0.71298,NA,NA,NA,0,0,0,-1,0,NA,NA,NA,0.170546591062523,0.158716175986076,0.181718712551397,0.0919872549040853,0.166551415924253,NA,NA,NA,6.81162435844112,17.9948165260081,19.4857474766458,21.0359147303809,NA,NA,NA,0.512429863923369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0
Fbln5,Fbln5,-5.5865,27.432,-1759.5,2.1057,NA,NA,NA,NA,0,1,0,0,NA,NA,NA,NA,0.120073878688038,0.0720835718372818,0.29114381713327,0.167469978939295,NA,NA,NA,NA,10.8902530804055,14.9928610377723,15.0516406986611,NA,NA,NA,NA,0.51119090999907,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ankrd33b,Ankrd33b,-1.0183,64.218,-1167.9,0.31243,NA,NA,NA,NA,0,0,-1,0,NA,NA,NA,NA,0.280869734311305,0.391052916837274,0.077773696895682,0.352146570031153,NA,NA,NA,NA,11.9422574148225,14.8623961303344,15.0221607754004,NA,NA,NA,NA,0.51012757608467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nfasc,Nfasc,-13.511,0.49595,NA,NA,NA,NA,NA,NA,-1,0,NA,NA,NA,NA,NA,NA,0.0829523176563197,0.248826600334737,NA,NA,NA,NA,NA,NA,7.10302836262572,NA,NA,NA,NA,NA,NA,0.508611320088016,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slc17a9,Slc17a9,-7.8429,783.41,-16.433,8.8633,-121.91,2.0085,NA,NA,-1,0,0,0,0,0,NA,NA,0.0961344902411621,0.213934821360194,0.472361745522655,0.112215406773214,0.343779991948287,0.354152693722862,NA,NA,8.99078756816331,9.11517348834694,14.5010142789203,20.8267673788291,21.3160993269193,NA,NA,0.508424753631144,-1,-1,-1,-1,-1,-1,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thbs3,Thbs3,-1.0756,726.53,-100.1,0.63746,NA,NA,NA,NA,0,1,0,0,NA,NA,NA,NA,0.15332811206231,0.0851417305451274,0.458277796445427,0.282400098586561,NA,NA,NA,NA,14.9739292184325,15.3429352653237,18.0161817349155,NA,NA,NA,NA,0.507754034613624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Scube2,Scube2,-0.054232,16.002,-431.6,0.77966,NA,NA,NA,NA,0,1,0,0,NA,NA,NA,NA,0.482762563965854,0.0709041648244428,0.31431103910243,0.255344660810964,NA,NA,NA,NA,11.9854333673995,14.973047702715,15.0947659862799,NA,NA,NA,NA,0.506519957952902,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tnnc1,Tnnc1,-0.02207,154.25,-483.36,0.06079,NA,NA,NA,NA,0,0,-1,0,NA,NA,NA,NA,0.42872679681996,0.159454528885208,0.0921685603317084,0.369169454317567,NA,NA,NA,NA,14.9959794372209,17.2505205964927,17.969437247352,NA,NA,NA,NA,0.50458146786668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0
Phka1,Phka1,-7.8727,3736.2,-37.615,-0.33105,NA,NA,NA,NA,0,1,0,0,NA,NA,NA,NA,0.128444509657188,0.0715910588976366,0.453728145102059,0.407787409434274,NA,NA,NA,NA,9.00161668283664,9.03595511346467,12.089774250833,NA,NA,NA,NA,0.503063936926574,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angptl7,Angptl7,472.07,-42.756,0.17552,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,0.0676540897059318,0.421395043918166,0.274034521853074,NA,NA,NA,NA,NA,3.24232670194172,6.02456963676096,NA,NA,NA,NA,NA,0.50139706647481,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm43362,Gm43362,-247.37,-0.016092,NA,NA,NA,NA,NA,NA,-1,0,NA,NA,NA,NA,NA,NA,0.0875054541627584,0.452840362505985,NA,NA,NA,NA,NA,NA,3.05823967916153,NA,NA,NA,NA,NA,NA,0.50056361803117,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lrp3,Lrp3,-5.8238,0.25626,NA,NA,NA,NA,NA,NA,-1,0,NA,NA,NA,NA,NA,NA,0.0802575760786092,0.214789134977907,NA,NA,NA,NA,NA,NA,7.06518490631308,NA,NA,NA,NA,NA,NA,0.500122426605531,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Usp50,Usp50,-4.089,15.52,-0.66134,0.074755,NA,NA,NA,NA,-1,0,0,0,NA,NA,NA,NA,0.0690177142211841,0.390259926106597,0.121515314817396,0.478031457853597,NA,NA,NA,NA,8.27375890376763,9.48094019079203,21.2378381414369,NA,NA,NA,NA,0.497674435476544,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rimkla,Rimkla,3.2585,-194.26,0.21995,-0.35469,NA,NA,NA,NA,1,0,0,0,NA,NA,NA,NA,0.0858500863110844,0.113194997178901,0.180040938245872,0.2196760790177,NA,NA,NA,NA,5.95113619555527,6.00985226195363,19.6728098695967,NA,NA,NA,NA,0.497066291288842,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Klhdc2,Klhdc2,11.244,-198.68,1.5091,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,0.0657709622235274,0.336473703078233,0.18556323429056,NA,NA,NA,NA,NA,11.6911483146567,12.0281046060157,NA,NA,NA,NA,NA,0.49550246117046,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rtp3,Rtp3,-0.64297,60.937,-96.358,0.0090013,NA,NA,NA,NA,0,0,-1,0,NA,NA,NA,NA,0.11558440564632,0.125506012722949,0.0951254028971718,0.48184707561499,NA,NA,NA,NA,11.9291924723613,13.8581670458689,15.0581379271592,NA,NA,NA,NA,0.494763564741134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0
Gm10250,Gm10250,0.13873,11.33,-0.41819,23.803,-1.3081,NA,NA,NA,0,0,0,0,-1,NA,NA,NA,0.251421195255252,0.264325666301766,0.172524938468554,0.269677651825902,0.07739735099123,NA,NA,NA,11.9482208347578,12.1108267858208,20.9402928452903,21.3218614668882,NA,NA,NA,0.492035114252569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1
Peg3,Peg3,-14181,0.64408,NA,NA,NA,NA,NA,NA,-1,0,NA,NA,NA,NA,NA,NA,0.0737996728093704,0.384481822654731,NA,NA,NA,NA,NA,NA,3.03877768823987,NA,NA,NA,NA,NA,NA,0.490495494882199,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tnni3,Tnni3,-1.2371,11.489,-416.44,0.87514,NA,NA,NA,NA,0,1,0,0,NA,NA,NA,NA,0.183471748995424,0.0627534800667617,0.25122861947627,0.170215329260378,NA,NA,NA,NA,11.6298462909622,14.9740186817106,15.068031192415,NA,NA,NA,NA,0.489068987551618,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cdhr2,Cdhr2,0.71135214692764,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,0.00104626803574302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.482832671546293,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Rap1b,Rap1b,1.4811,54.479,-2726.6,1.9959,0.43666,NA,NA,NA,0,1,0,0,0,NA,NA,NA,0.386827952816117,0.0655626114498308,0.31342795811506,0.445734841803416,0.466466520857959,NA,NA,NA,11.4958310875721,14.9798310611765,15.0487646893242,18.1233940879708,NA,NA,NA,0.481383999190048,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Inafm1,Inafm1,1.5935,-33.519,4.0294,-22.589,568.49,-4.0955,NA,NA,0,0,0,0,1,0,NA,NA,0.251782898268197,0.397421307215323,0.107429561866249,0.403928153832116,0.0877878100753266,0.140626300954877,NA,NA,8.88143667013063,9.76910098985211,17.4297137485618,20.8826348337222,21.036045018667,NA,NA,0.481281420359114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
Tubb1,Tubb1,0.1891,-0.94336,81.547,-0.8396,0.32877,NA,NA,NA,0,0,1,0,0,NA,NA,NA,0.240476858930221,0.490158448989706,0.07450193982499,0.121994230787576,0.282180190989129,NA,NA,NA,10.9955672570275,14.9265599112028,15.031930461338,23.4152971578528,NA,NA,NA,0.480657207275715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
H2-Q10,H2-Q10,5.0624,-150.32,0.41582,0.021817,NA,NA,NA,NA,1,0,0,0,NA,NA,NA,NA,0.0699401102186639,0.186366951209347,0.351627953098483,0.468208300702797,NA,NA,NA,NA,5.97397444881467,6.08706088903022,13.9357780801403,NA,NA,NA,NA,0.478817011410342,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bche,Bche,3.6909,-1.1134,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0.0782157556562623,0.130831560453753,NA,NA,NA,NA,NA,NA,12.0017052412301,NA,NA,NA,NA,NA,NA,0.476970416252,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tpm4,Tpm4,-1.7896,366.73,-4038.5,2.4378,NA,NA,NA,NA,0,0,-1,0,NA,NA,NA,NA,0.337479866541978,0.4478641983393,0.0727360057823619,0.239492497266628,NA,NA,NA,NA,12.0373605686906,14.7501297800805,14.9997480736076,NA,NA,NA,NA,0.476234715752502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
Nkiras1,Nkiras1,-1262.6,-0.19623,NA,NA,NA,NA,NA,NA,-1,0,NA,NA,NA,NA,NA,NA,0.0831217158834323,0.262663221697461,NA,NA,NA,NA,NA,NA,3.0055898876086,NA,NA,NA,NA,NA,NA,0.475705984591564,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gas1,Gas1,-1242.9,1.047,NA,NA,NA,NA,NA,NA,-1,0,NA,NA,NA,NA,NA,NA,0.0881408827215476,0.164983329315355,NA,NA,NA,NA,NA,NA,3.05761067036955,NA,NA,NA,NA,NA,NA,0.47434222740097,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zfp457,Zfp457,-0.12857,267.8,-111.86,0.24159,NA,NA,NA,NA,0,1,0,0,NA,NA,NA,NA,0.328999208074148,0.0639098605104837,0.186056357113421,0.320256390934856,NA,NA,NA,NA,14.9734770975244,15.8771830238177,18.0373897658878,NA,NA,NA,NA,0.471712642873714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Slc23a2,Slc23a2,-1.2218,16.741,-639.85,0.52092,NA,NA,NA,NA,0,0,-1,0,NA,NA,NA,NA,0.256994570538292,0.45994027782661,0.0863158025046177,0.297210102442753,NA,NA,NA,NA,11.400294055062,14.9728425960127,15.0571150386404,NA,NA,NA,NA,0.471260220410691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
Thoc3,Thoc3,-4.2348,5.686,-2.0077,5.1524,NA,NA,NA,NA,0,1,0,0,NA,NA,NA,NA,0.125351180492001,0.0874351415859309,0.107516883966392,0.119181953424423,NA,NA,NA,NA,7.96446327243825,12.0507727302154,22.7466758231191,NA,NA,NA,NA,0.466126915322013,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bglap3,Bglap3,-3.5961,8.1481,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,0.184564782118336,0.0689706042821755,NA,NA,NA,NA,NA,NA,13.8447097212802,NA,NA,NA,NA,NA,NA,0.463028026893459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Gm19721,Gm19721,-133.76,0.021968,NA,NA,NA,NA,NA,NA,-1,0,NA,NA,NA,NA,NA,NA,0.0940988263322847,0.402268117397405,NA,NA,NA,NA,NA,NA,3.05490515924368,NA,NA,NA,NA,NA,NA,0.462863013253083,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Col5a3,Col5a3,-10.459,-0.41685,NA,NA,NA,NA,NA,NA,-1,0,NA,NA,NA,NA,NA,NA,0.0868997162928573,0.244772010322236,NA,NA,NA,NA,NA,NA,6.09668361042902,NA,NA,NA,NA,NA,NA,0.462501611132168,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fes,Fes,-0.52415,986.59,-617.41,0.4454,NA,NA,NA,NA,0,0,-1,0,NA,NA,NA,NA,0.264084721956859,0.184842239183848,0.0984928844681055,0.246895328065431,NA,NA,NA,NA,12.0027151131033,13.1581717752854,15.0023507105683,NA,NA,NA,NA,0.462359064123608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rdh5,Rdh5,-2.7075,202.68,-4591.2,0.2701,NA,NA,NA,NA,-1,0,0,0,NA,NA,NA,NA,0.08707128461589,0.114438805329637,0.186844326480654,0.310370303995028,NA,NA,NA,NA,11.9220893145655,14.8660861609526,14.993999021564,NA,NA,NA,NA,0.460864685645825,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zfp579,Zfp579,-9.6323,0.11161,NA,NA,NA,NA,NA,NA,-1,0,NA,NA,NA,NA,NA,NA,0.0830496390986899,0.458290311407472,NA,NA,NA,NA,NA,NA,9.39970781502174,NA,NA,NA,NA,NA,NA,0.460690869311749,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Foxred2,Foxred2,2.13503749048494,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,0.000217324644529217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.459576322426966,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Uts2r,Uts2r,1.2315,-45.361,0.012363,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,0.0823855477053216,0.138571590321368,0.373750497707095,NA,NA,NA,NA,NA,5.96091999687158,6.04127897341007,NA,NA,NA,NA,NA,0.45398773779525,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ostf1,Ostf1,1.5557,17.102,-1878.2,-0.024282,2.2487,NA,NA,NA,0,1,0,0,0,NA,NA,NA,0.25482730505499,0.0832258065556969,0.229538223401803,0.49834177964857,0.20243168434711,NA,NA,NA,11.774458426524,15.0155656668279,15.0530562348712,20.7300266494011,NA,NA,NA,0.453879602125789,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1810007D17Rik,1810007D17Rik,71.468,1.1444,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0.0948749614573938,0.387553090453224,NA,NA,NA,NA,NA,NA,6.8549356409861,NA,NA,NA,NA,NA,NA,0.452570704254208,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sntb1,Sntb1,35.773,-3.4483,NA,NA,NA,NA,NA,NA,0,-1,NA,NA,NA,NA,NA,NA,0.480249111868242,0.0857304782555197,NA,NA,NA,NA,NA,NA,5.58375575308315,NA,NA,NA,NA,NA,NA,0.45158821335006,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Cavin3,Cavin3,-12.238,0.11674,NA,NA,NA,NA,NA,NA,-1,0,NA,NA,NA,NA,NA,NA,0.0856899305920193,0.421116765460221,NA,NA,NA,NA,NA,NA,6.70088067944244,NA,NA,NA,NA,NA,NA,0.450436042950032,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chst3,Chst3,0.48483,7.6111,-253.13,0.77455,NA,NA,NA,NA,0,1,0,0,NA,NA,NA,NA,0.302835394547191,0.084906666291687,0.302761547946595,0.163919305809472,NA,NA,NA,NA,11.8864140853535,14.9670960564084,15.0963473003242,NA,NA,NA,NA,0.447902693576272,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fndc3a,Fndc3a,16.743,-23.398,459.7,-27.733,NA,NA,NA,NA,1,0,0,0,NA,NA,NA,NA,0.0745087890152984,0.108746733275569,0.338030410753834,0.156822624689146,NA,NA,NA,NA,12.021521045147,20.6994727614155,21.2807068901139,NA,NA,NA,NA,0.44636438292972,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grm3,Grm3,3.5109,-100.51,-0.091096,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,0.0947926785340845,0.226030903422837,0.254373704532995,NA,NA,NA,NA,NA,5.96561680254907,6.05881046502019,NA,NA,NA,NA,NA,0.445817148336117,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maml3,Maml3,-1070.3,0.29721,NA,NA,NA,NA,NA,NA,-1,0,NA,NA,NA,NA,NA,NA,0.0823938890401202,0.287013042307229,NA,NA,NA,NA,NA,NA,3.02618782235536,NA,NA,NA,NA,NA,NA,0.442899120852813,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scgb1c1,Scgb1c1,-0.097046,1.478,-33.209,0.13788,-0.13371,NA,NA,NA,0,0,-1,0,0,NA,NA,NA,0.179830874535448,0.427601976142439,0.0704902295051653,0.223338664343298,0.25497659611254,NA,NA,NA,11.4708544519711,14.9116289759221,15.0595710997122,22.0689875034119,NA,NA,NA,0.442865857827335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0
Slc39a6,Slc39a6,-0.88641,224.77,-598.99,0.5186,NA,NA,NA,NA,0,0,-1,0,NA,NA,NA,NA,0.23255339375836,0.240162949331675,0.0702911475607336,0.284162506224945,NA,NA,NA,NA,12.0010518118757,14.2169202638254,15.0444072180801,NA,NA,NA,NA,0.441980615546397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0
Gm10109,Gm10109,-16.734,64.78,-386.1,682.62,1.159,NA,NA,NA,-1,0,0,0,0,NA,NA,NA,0.0843681767322673,0.432921257047142,0.192076831660851,0.170596380714334,0.294297110616562,NA,NA,NA,8.34450479924686,11.6405487127897,13.953313626811,15.0151543210582,NA,NA,NA,0.440650528814555,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9430034N14Rik,9430034N14Rik,-1.4217,0.1047,NA,NA,NA,NA,NA,NA,-1,0,NA,NA,NA,NA,NA,NA,0.0772445019089276,0.251109979549961,NA,NA,NA,NA,NA,NA,9.03018210090274,NA,NA,NA,NA,NA,NA,0.439961008549171,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nell1,Nell1,-0.851,-134.46,1546.6,-3.9869,12.485,NA,NA,NA,0,0,0,-1,0,NA,NA,NA,0.267186725022116,0.434151971745339,0.465343143768194,0.0811588521216925,0.492364892137262,NA,NA,NA,11.9990545266911,14.7465871294003,15.0065540227783,25.9386762204244,NA,NA,NA,0.437364621166147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0
Siglecg,Siglecg,-0.51307,41.862,-475.4,0.27417,NA,NA,NA,NA,0,0,-1,0,NA,NA,NA,NA,0.305704590974912,0.433618617655368,0.0722621238419401,0.333871068986517,NA,NA,NA,NA,11.8442759679495,14.7739953764988,15.0259095431293,NA,NA,NA,NA,0.437279152817419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0
