,Feature,Segment1.Slope,Segment2.Slope,Segment3.Slope,Segment4.Slope,Segment5.Slope,Segment6.Slope,Segment7.Slope,Segment8.Slope,Segment1.Trend,Segment2.Trend,Segment3.Trend,Segment4.Trend,Segment5.Trend,Segment6.Trend,Segment7.Trend,Segment8.Trend,Segment1.Pvalue,Segment2.Pvalue,Segment3.Pvalue,Segment4.Pvalue,Segment5.Pvalue,Segment6.Pvalue,Segment7.Pvalue,Segment8.Pvalue,Breakpoint1,Breakpoint2,Breakpoint3,Breakpoint4,Breakpoint5,Breakpoint6,Breakpoint7,AdjustedR2,X3m_s1.Trend,X3m_s2.Trend,X3m_s3.Trend,X6m_s1.Trend,X6m_s2.Trend,X6m_s3.Trend,X6m_s4.Trend,X9m_s1.Trend,X9m_s2.Trend,X9m_s3.Trend,X9m_s4.Trend,X12m_s1.Trend,X12m_s2.Trend,X12m_s3.Trend,X12m_s4.Trend,X12m_s5.Trend,X15m_s1.Trend,X15m_s2.Trend,X15m_s3.Trend,X15m_s4.Trend,X18m_s1.Trend,X18m_s2.Trend,X18m_s3.Trend,X18m_s4.Trend,X21m_s1.Trend,X21m_s2.Trend,X21m_s3.Trend,X24m_s1.Trend,X24m_s2.Trend,X27m_s1.Trend,X27m_s2.Trend,X27m_s3.Trend
Socs2,Socs2,-0.760619483758287,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,0.012922751714963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.596025482964044,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Elovl4,Elovl4,0.31436,-64.7,203.35,-228.85,476.17,-11.293,NA,NA,0,0,1,0,0,0,NA,NA,0.166004653382352,0.317251173872889,0.0714456964463727,0.103195553989344,0.109494804788387,0.426304070574778,NA,NA,14.9572719118669,17.2344542578951,19.5739702072404,23.0566286844733,24.1030967751572,NA,NA,0.595159815674491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
Tubb4b,Tubb4b,3.8052,392.97,-2542,4.4422,NA,NA,NA,NA,0,0,-1,0,NA,NA,NA,NA,0.167703067540968,0.408873072176512,0.0599227974861443,0.129692606909489,NA,NA,NA,NA,12.0137582050811,14.6270316744407,15.0499319458217,NA,NA,NA,NA,0.594622200559622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
Gdf10,Gdf10,-11.442,2.8317,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,0.497606545750882,0.0540915224136325,NA,NA,NA,NA,NA,NA,5.8745100800166,NA,NA,NA,NA,NA,NA,0.592555276991388,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Gm39526,Gm39526,0.22489,696.92,-36.859,1.1622,-5.6319,0.57616,NA,NA,0,1,0,0,0,0,NA,NA,0.375890437088517,0.0629322786687644,0.271781590699512,0.178579617481688,0.465053785303533,0.320665596793228,NA,NA,9.00037796269721,9.1496011255343,12.1123038758627,20.3942233985672,21.913595646177,NA,NA,0.590792910036543,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pitpnc1,Pitpnc1,-1.3305,30.476,-1708.3,-0.71123,NA,NA,NA,NA,0,1,0,0,NA,NA,NA,NA,0.279588836630852,0.059949564535912,0.280427932283478,0.318224843401914,NA,NA,NA,NA,11.9674208180036,14.996365766085,15.0509033819011,NA,NA,NA,NA,0.590720195462725,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ggt6,Ggt6,-360.87,0.30494,NA,NA,NA,NA,NA,NA,-1,0,NA,NA,NA,NA,NA,NA,0.0553736066958902,0.107345860896145,NA,NA,NA,NA,NA,NA,3.06032270148619,NA,NA,NA,NA,NA,NA,0.589791300730129,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apoa1,Apoa1,-80.244,716.57,-92.701,73.488,-4.0443,332.86,-470.54,0.065719,0,1,0,0,0,0,0,0,0.434429464385386,0.05780861691627,0.329481289524126,0.338071683781796,0.174787473181155,0.171790840486089,0.157415717487511,0.499908568670807,5.67213004716517,6.31697720716317,10.3301546688322,12.2320356553475,20.9240700371177,22.7774525307888,24.0443792705501,0.589405259046283,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slc9a3r2,Slc9a3r2,-2.1298,840.7,-3432.4,-2.1017,NA,NA,NA,NA,0,0,-1,0,NA,NA,NA,NA,0.315553697611295,0.371189250824867,0.06510773894967,0.296075719918337,NA,NA,NA,NA,12.0113400883067,14.4592117471285,15.0522923521422,NA,NA,NA,NA,0.588917128711676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
Pcyox1l,Pcyox1l,-1878.6,-0.10922,NA,NA,NA,NA,NA,NA,-1,0,NA,NA,NA,NA,NA,NA,0.0808220769895113,0.335204203466668,NA,NA,NA,NA,NA,NA,3.02346329628909,NA,NA,NA,NA,NA,NA,0.587812325554256,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ckb,Ckb,-2.6096,114.57,-1093.6,0.90869,NA,NA,NA,NA,0,0,-1,0,NA,NA,NA,NA,0.144054179136675,0.304587404327586,0.0682974422620966,0.210923233174115,NA,NA,NA,NA,11.8958020201068,14.7444035147178,15.0294674451126,NA,NA,NA,NA,0.584324273648768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0
Kif11,Kif11,0.00015177,293.27,-32.592,0.2813,NA,NA,NA,NA,0,1,0,0,NA,NA,NA,NA,0.499642538148084,0.0678187870117311,0.151490384745896,0.128552565351176,NA,NA,NA,NA,11.9944586153842,12.3015237406828,15.0946990434622,NA,NA,NA,NA,0.583448240479088,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colgalt1,Colgalt1,-6.6116,0.9045,NA,NA,NA,NA,NA,NA,-1,0,NA,NA,NA,NA,NA,NA,0.0667828613733992,0.20783012642924,NA,NA,NA,NA,NA,NA,11.9786673661777,NA,NA,NA,NA,NA,NA,0.582947388325746,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm26984,Gm26984,-0.04796,156.46,-11.505,-5.5067e-14,NA,NA,NA,NA,0,1,0,0,NA,NA,NA,NA,0.365284963102985,0.0971587904746678,0.389763969598114,0.49999999999997,NA,NA,NA,NA,17.958376758234,18.1706681805337,21.0478422066402,NA,NA,NA,NA,0.581713032081819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
