,Feature,Segment1.Slope,Segment2.Slope,Segment3.Slope,Segment4.Slope,Segment5.Slope,Segment6.Slope,Segment1.Trend,Segment2.Trend,Segment3.Trend,Segment4.Trend,Segment5.Trend,Segment6.Trend,Segment1.Pvalue,Segment2.Pvalue,Segment3.Pvalue,Segment4.Pvalue,Segment5.Pvalue,Segment6.Pvalue,Breakpoint1,Breakpoint2,Breakpoint3,Breakpoint4,Breakpoint5,AdjustedR2,X3m_s1.Trend,X3m_s2.Trend,X3m_s3.Trend,X3m_s4.Trend,X3m_s5.Trend,X6m_s1.Trend,X6m_s2.Trend,X6m_s3.Trend,X6m_s4.Trend,X6m_s5.Trend,X9m_s1.Trend,X9m_s2.Trend,X9m_s3.Trend,X9m_s4.Trend,X9m_s5.Trend,X9m_s6.Trend,X12m_s1.Trend,X12m_s2.Trend,X12m_s3.Trend,X12m_s4.Trend,X12m_s5.Trend,X15m_s1.Trend,X15m_s2.Trend,X15m_s3.Trend,X15m_s4.Trend,X15m_s5.Trend,X15m_s6.Trend,X18m_s1.Trend,X18m_s2.Trend,X18m_s3.Trend,X18m_s4.Trend,X21m_s1.Trend,X21m_s2.Trend,X21m_s3.Trend,X21m_s4.Trend,X21m_s5.Trend,X21m_s6.Trend,X24m_s1.Trend,X24m_s2.Trend,X24m_s3.Trend,X24m_s4.Trend,X27m_s1.Trend,X27m_s2.Trend,X27m_s3.Trend,X27m_s4.Trend
Olfr1459,Olfr1459,-0.95537,2.6342,NA,NA,NA,NA,0,1,NA,NA,NA,NA,0.148531423137445,0.0932738000453133,NA,NA,NA,NA,16.0833150813978,NA,NA,NA,NA,0.354345579255021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Gm42818,Gm42818,0.255838942677454,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1.89688469692383e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.353902076684821,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Dnajb11,Dnajb11,-5.41158836312462,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,8.42915223181871e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.353825505372778,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Syp,Syp,0.418973851713764,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0.0379331637804296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.353806761572289,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Dyrk2,Dyrk2,-4.02902601426186,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,2.0359333720939e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.35371664753843,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Cacfd1,Cacfd1,0.62496,-23.807,NA,NA,NA,NA,0,-1,NA,NA,NA,NA,0.455040895112443,0.0932260185758783,NA,NA,NA,NA,17.0385855700163,NA,NA,NA,NA,0.35370664255313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Cerkl,Cerkl,1.07306126246174,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1.0405528429187e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.353653011959206,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4930412M03Rik,4930412M03Rik,97.751,-0.42389,3.4523,NA,NA,NA,0,0,1,NA,NA,NA,0.158752580769628,0.10811784637166,0.0912663694051668,NA,NA,NA,3.05822392575721,23.4770855245072,NA,NA,NA,0.353267714852047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
Stard7,Stard7,-21.4322230814335,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,1.80789783770476e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.353202168280431,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Dele1,Dele1,-18.7190235212196,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,2.73252136125081e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.353058706583165,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
