,Feature,Segment1.Slope,Segment2.Slope,Segment3.Slope,Segment4.Slope,Segment5.Slope,Segment6.Slope,Segment1.Trend,Segment2.Trend,Segment3.Trend,Segment4.Trend,Segment5.Trend,Segment6.Trend,Segment1.Pvalue,Segment2.Pvalue,Segment3.Pvalue,Segment4.Pvalue,Segment5.Pvalue,Segment6.Pvalue,Breakpoint1,Breakpoint2,Breakpoint3,Breakpoint4,Breakpoint5,AdjustedR2,X3m_s1.Trend,X3m_s2.Trend,X3m_s3.Trend,X3m_s4.Trend,X3m_s5.Trend,X6m_s1.Trend,X6m_s2.Trend,X6m_s3.Trend,X6m_s4.Trend,X6m_s5.Trend,X9m_s1.Trend,X9m_s2.Trend,X9m_s3.Trend,X9m_s4.Trend,X9m_s5.Trend,X9m_s6.Trend,X12m_s1.Trend,X12m_s2.Trend,X12m_s3.Trend,X12m_s4.Trend,X12m_s5.Trend,X15m_s1.Trend,X15m_s2.Trend,X15m_s3.Trend,X15m_s4.Trend,X15m_s5.Trend,X15m_s6.Trend,X18m_s1.Trend,X18m_s2.Trend,X18m_s3.Trend,X18m_s4.Trend,X21m_s1.Trend,X21m_s2.Trend,X21m_s3.Trend,X21m_s4.Trend,X21m_s5.Trend,X21m_s6.Trend,X24m_s1.Trend,X24m_s2.Trend,X24m_s3.Trend,X24m_s4.Trend,X27m_s1.Trend,X27m_s2.Trend,X27m_s3.Trend,X27m_s4.Trend
Eif2s3y,Eif2s3y,1.2048,-21.074,NA,NA,NA,NA,0,-1,NA,NA,NA,NA,0.342041979937649,0.0980345120949491,NA,NA,NA,NA,20.1062644441457,NA,NA,NA,NA,0.943900553283436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Eif2s3x,Eif2s3x,2.9883,-4.5307,NA,NA,NA,NA,0,-1,NA,NA,NA,NA,0.165194509830751,0.0874773159092894,NA,NA,NA,NA,14.9434681093911,NA,NA,NA,NA,0.875322577705996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Kcnk1,Kcnk1,2.8651,-14.198,NA,NA,NA,NA,1,0,NA,NA,NA,NA,0.033386855121251,0.483625637669292,NA,NA,NA,NA,25.210013747625,NA,NA,NA,NA,0.708159982417898,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
Prkcq,Prkcq,7.88417150284819,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,6.09585048097962e-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.665027714996815,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Acsm5,Acsm5,7.0635,-17.172,NA,NA,NA,NA,1,0,NA,NA,NA,NA,0.0437277936140419,0.142996375310303,NA,NA,NA,NA,23.2386095617694,NA,NA,NA,NA,0.661066422275944,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
Dpep1,Dpep1,95.426,-13.231,NA,NA,NA,NA,1,-1,NA,NA,NA,NA,0.08906369638618,0.088243291241074,NA,NA,NA,NA,6.20825469682502,NA,NA,NA,NA,0.653942221296488,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Cds1,Cds1,15.141,0.91895,NA,NA,NA,NA,1,0,NA,NA,NA,NA,0.0661617697520221,0.383234589694991,NA,NA,NA,NA,13.7689683967308,NA,NA,NA,NA,0.630278771630697,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Efemp1,Efemp1,13.711,-10.618,NA,NA,NA,NA,1,0,NA,NA,NA,NA,0.0653886528419882,0.133382680554642,NA,NA,NA,NA,17.0239453908868,NA,NA,NA,NA,0.627845147250603,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vgll2,Vgll2,2.37653067422055,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1.62539198961029e-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.61098646002165,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Rtl3,Rtl3,0.279239696237743,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0.0601945054345215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.60365851212761,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ighg2c,Ighg2c,10.8607848934284,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2.02290261802395e-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.58369044465911,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Skap2,Skap2,7.5634005931787,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1.0666372646585e-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.583308966133145,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Olfr1016,Olfr1016,-2.8119,0.2545,293.12,-7.765,NA,NA,0,0,0,-1,NA,NA,0.174493102085627,0.359641672080281,0.153471705274435,0.0761587206532763,NA,NA,6.23512570703008,20.9261091733135,21.0933037917659,NA,NA,0.561398915664147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
Slc38a1,Slc38a1,-10.278,7.8665,NA,NA,NA,NA,-1,0,NA,NA,NA,NA,0.0547866862343667,0.113566578152643,NA,NA,NA,NA,16.7351790056586,NA,NA,NA,NA,0.559160936846281,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hspa4l,Hspa4l,205.75,-11.198,NA,NA,NA,NA,0,-1,NA,NA,NA,NA,0.414952335158762,0.041560935332914,NA,NA,NA,NA,3.65549534924153,NA,NA,NA,NA,0.558754824909781,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Pcdhb20,Pcdhb20,4.381,-3.3846,NA,NA,NA,NA,1,0,NA,NA,NA,NA,0.0553412027882922,0.190086049990658,NA,NA,NA,NA,20.4101114208286,NA,NA,NA,NA,0.556221253804734,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm28597,Gm28597,-90.527,0.39453,NA,NA,NA,NA,0,1,NA,NA,NA,NA,0.150990792233209,0.0751930323915406,NA,NA,NA,NA,3.05915898530503,NA,NA,NA,NA,0.55400806652135,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ric3,Ric3,4.1855,-11.411,NA,NA,NA,NA,1,0,NA,NA,NA,NA,0.0419712226132801,0.492844008010699,NA,NA,NA,NA,24.1462121010319,NA,NA,NA,NA,0.553461643780268,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
Prlr,Prlr,7.3614,-33.118,NA,NA,NA,NA,1,0,NA,NA,NA,NA,0.0416447370057921,0.488101391981447,NA,NA,NA,NA,24.6091866270885,NA,NA,NA,NA,0.55169353994459,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
Fas,Fas,15.552,-428.08,-1.2443,NA,NA,NA,1,0,0,NA,NA,NA,0.0960360211224447,0.165421881083088,0.19521659749482,NA,NA,NA,8.93960100447213,9.11442305955665,NA,NA,NA,0.548470252556641,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mapk12,Mapk12,9.7811,-6.5515,1181,-746.79,8.2981,NA,0,0,0,-1,1,NA,0.152749422667331,0.296949052819735,0.162312370681914,0.0857868566067267,0.0685116744977051,NA,7.47974465670647,11.9695968212887,13.1717591549748,15.133806856798,NA,0.54695388213518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Mat2b,Mat2b,777.65,-14.107,NA,NA,NA,NA,0,-1,NA,NA,NA,NA,0.320408628688772,0.0446623356845166,NA,NA,NA,NA,3.17320616896464,NA,NA,NA,NA,0.541534945464415,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Hsd11b1,Hsd11b1,2.3600252687552,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0.00593751295193202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.538852953186051,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2310061I04Rik,2310061I04Rik,-13.9274601711549,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,8.72521184313373e-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.538205260485497,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Chp1,Chp1,50.278,-4499.8,985.92,-18.317,NA,NA,0,-1,0,-1,NA,NA,0.101815022039122,0.085687679041338,0.359137014513867,0.0676852648340446,NA,NA,8.96016301839373,9.53592667395399,12.0462748315786,NA,NA,0.537801230454701,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Cnmd,Cnmd,1.48509165259234,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2.05951795693421e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.534865327442123,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Tubb1,Tubb1,-0.44107,1479.1,NA,NA,NA,NA,0,1,NA,NA,NA,NA,0.199910068032422,0.0622086436838892,NA,NA,NA,NA,26.9591093729354,NA,NA,NA,NA,0.531457594655762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Amy1,Amy1,7.76424602721793,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2.38760488477488e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.530956101190082,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Prom2,Prom2,1.62518222601374,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2.40574355607124e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.529678089511018,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Atp6v1b2,Atp6v1b2,-13.2163085005617,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,2.41913615966363e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.529160674165011,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Rasgrp1,Rasgrp1,0.13753,2.5587,NA,NA,NA,NA,0,1,NA,NA,NA,NA,0.43514042763868,0.0612499576660502,NA,NA,NA,NA,14.8111041925657,NA,NA,NA,NA,0.525962727467528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Scgb2b27,Scgb2b27,-156.74,2885.2,-98.682,39.379,-38.424,0.49481,0,1,0,0,0,0,0.39399152008722,0.0479756896035235,0.428920497834177,0.486572110671088,0.480700047445569,0.410633475799935,5.84359392995992,6.09731428428099,9.84724523140694,13.4543371649941,15.0080851487927,0.524063816244316,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gnpat,Gnpat,-34.7674725613604,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,1.51473630677236e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.522742165036535,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Slc25a34,Slc25a34,-39.8826793656874,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,1.31236322193039e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.521192223356526,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Cxcr6,Cxcr6,-293.78,1.6158,NA,NA,NA,NA,0,1,NA,NA,NA,NA,0.138503690371176,0.0521570097515646,NA,NA,NA,NA,3.05728280598855,NA,NA,NA,NA,0.519542366032769,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Gm2497,Gm2497,-0.012239,2.1765,-2.9283,NA,NA,NA,0,0,-1,NA,NA,NA,0.476373958859238,0.110278507507109,0.0894464339433603,NA,NA,NA,16.8459078366371,23.0433032240391,NA,NA,NA,0.516794541336302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
Tmod1,Tmod1,-36.1828590740466,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,1.60415675886326e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.516602131862444,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Eno3,Eno3,-195.695066665156,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,2.58152501023129e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.513184932211026,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Gm15638,Gm15638,-2.2519,324.25,-11.77,1.4456,NA,NA,0,1,0,1,NA,NA,0.17674933541048,0.0761801785642791,0.462138358786096,0.0706194580280288,NA,NA,8.95680658422719,9.08092700837143,12.3249961017741,NA,NA,0.510384086943933,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Gm2619,Gm2619,0.824206653140954,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,5.13386367795571e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.507303973719556,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Cs,Cs,-10.92,-366.39,NA,NA,NA,NA,0,-1,NA,NA,NA,NA,0.453189158121954,0.0905212989904429,NA,NA,NA,NA,15.053434626675,NA,NA,NA,NA,0.505323821262405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Fkbp4,Fkbp4,-74.4388084206469,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,3.04970715437647e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.50319471458087,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Acsl1,Acsl1,-120.382184668107,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,3.35576758357772e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.500779691813011,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Auh,Auh,-10.6226095816798,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,4.52015889540868e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.498634979988941,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Fgr,Fgr,-0.20173,1.5687,NA,NA,NA,NA,0,1,NA,NA,NA,NA,0.349428263663102,0.0591675693123629,NA,NA,NA,NA,14.9434861701001,NA,NA,NA,NA,0.496442443281587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Pde11a,Pde11a,1.94026944864432,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,4.66133813178981e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.493934774087552,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Cyp2b10,Cyp2b10,3.26711061699426,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,3.93330198685415e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.49375404661151,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Fbxo31,Fbxo31,-24.5993090895763,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,4.98229848568564e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.493242080562099,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Ccr2,Ccr2,3.63392523908881,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,4.67961617235534e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.489528377495802,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Coq9,Coq9,15331,-104.79,NA,NA,NA,NA,0,-1,NA,NA,NA,NA,0.166949666004648,0.0522367486712118,NA,NA,NA,NA,3.05913514329979,NA,NA,NA,NA,0.488263618375387,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Itgal,Itgal,-18.761,2.1223,NA,NA,NA,NA,0,1,NA,NA,NA,NA,0.470667341060816,0.048848000464434,NA,NA,NA,NA,4.23260396541887,NA,NA,NA,NA,0.486793632212405,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Cdh22,Cdh22,6.8797,-7.3833,NA,NA,NA,NA,1,0,NA,NA,NA,NA,0.0554203725767577,0.145015647914475,NA,NA,NA,NA,19.4122019645494,NA,NA,NA,NA,0.485625017268023,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabarapl1,Gabarapl1,88.715,-2315.7,-6.8387,NA,NA,NA,1,0,0,NA,NA,NA,0.0873742930507854,0.16394247183679,0.18328282713455,NA,NA,NA,8.89212851088165,9.07371470421496,NA,NA,NA,0.481576123011929,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4930533B01Rik,4930533B01Rik,-0.060422,1.1347,NA,NA,NA,NA,0,1,NA,NA,NA,NA,0.403258270227654,0.087013248515299,NA,NA,NA,NA,16.3577278443107,NA,NA,NA,NA,0.478383131239451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Itgb7,Itgb7,1.97916239567763,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1.47523635863811e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.477980133524941,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Abat,Abat,19.868,-11.493,NA,NA,NA,NA,1,0,NA,NA,NA,NA,0.0596310154688133,0.157897487853948,NA,NA,NA,NA,16.7095512469359,NA,NA,NA,NA,0.477694707294919,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coq4,Coq4,-3.5765,15.385,NA,NA,NA,NA,-1,0,NA,NA,NA,NA,0.0478090579150411,0.488273678453457,NA,NA,NA,NA,24.8999584895221,NA,NA,NA,NA,0.477115343846997,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
Tmem94,Tmem94,-4403.8,-14.523,NA,NA,NA,NA,0,-1,NA,NA,NA,NA,0.126086321139172,0.0801566659740034,NA,NA,NA,NA,3.0396968791121,NA,NA,NA,NA,0.476355820782196,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Asb11,Asb11,-15.8033562369298,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,0.00305933525780317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.472276227833232,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Usp9y,Usp9y,0.864049751098316,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0.00499365781338404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.471946198422749,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Cdkn1c,Cdkn1c,-5.31294659441303,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,1.70042103329307e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.471701611277336,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Gm47816,Gm47816,-23.874,11.61,-156.51,-0.11833,NA,NA,0,0,-1,0,NA,NA,0.326592507700397,0.412119517935496,0.0957697310306219,0.247223378319562,NA,NA,4.02686936703314,8.83802576683989,9.03059168721873,NA,NA,0.470139910690679,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
