Trendy genes	Module genes	Trendy genes:Module genes	Trendy genes:Module genes:Hub genes	Module genes:Hub genes
Eif2s3y	0610009L18Rik	Hspa4l	Gnpat	Actr1a
Eif2s3x	1110004F10Rik	Mat2b	Eno3	Adsl
Kcnk1	1110038F14Rik	2310061I04Rik	Fkbp4	Atp5b
Prkcq	1600012H06Rik	Chp1	Auh	Atpaf1
Acsm5	1600014C10Rik	Atp6v1b2	Coq9	Bcat2
Dpep1	2310022A10Rik	Slc25a34	Ckmt2	C030006K11Rik
Cds1	2310022B05Rik	Tmod1	Isca1	Cd81
Efemp1	2410004B18Rik	Coq4	Rpl3l	Cdc34
Vgll2	2810006K23Rik	Dlat	Tmem70	Cdc37
Rtl3	4930453N24Rik	Rilpl1	Slc25a12	Echs1
Ighg2c	A930016O22Rik	Letm1	Eci2	Egln2
Skap2	AI837181	Fblim1	Ecsit	Eif5a
Olfr1016	AW209491	Oxct1	Chchd3	Gpi1
Slc38a1	Aagab	Tango2	Coq5	Klhdc2
Pcdhb20	Aamp	Akr7a5	Fastk	Ldha
Gm28597	Aasdhppt	Perp	Ptges2	Maf1
Ric3	Abcb6	Dnaja3	Fars2	Mtfr1l
Prlr	Abcf1	Mrpl44	Dele1	Napa
Fas	Abcf2	Ak3	Ubl7	Ndufv1
Mapk12	Abcf3	Foxred1	Pdhb	Pdrg1
Hsd11b1	Abhd16a	Gpsm1	Uqcrc1	Pkm
Cnmd	Acadm	Mlycd	Adipor1	Pmpcb
Tubb1	Acat1	Hibch	Phyh	Popdc2
Amy1	Ackr3	Mmaa	Prdx3	Ppp2r5d
Prom2	Acox1	Rmc1	Cops8	Psma1
Rasgrp1	Acp6	Usp13	Ube2b	Psmc5
Scgb2b27	Acsf2	Med16	Coq2	Psmd3
Cxcr6	Actc1	Gcdh	Ckm	Psmd7
Gm2497	Actn4	Bves	Mrpl38	Ptcd2
Gm15638	Actr8	Timm44	Psmd2	Rrp1
Gm2619	Acvrl1	Dlst	Slc2a4	Serf2
Cs	Acy1	Afg1l	Nfs1	Sod2
Acsl1	Acy3	Hspd1	Mrpl4	Stoml2
Fgr	Adck1	Acot1	Tufm	Wdr18
Pde11a	Add1	Atp1a2	Map1lc3b	NA
Cyp2b10	Adgrl1	Psmc2	Sgca	NA
Fbxo31	Adprhl1	Adhfe1	Cox10	NA
Ccr2	Adrm1	Abcb10	Mccc2	NA
Itgal	Adssl1	Slc48a1	Uqcrc2	NA
Cdh22	Afg3l1	Mapre2	Tcp1	NA
Gabarapl1	Aga	Scyl1	Etfb	NA
4930533B01Rik	Aimp2	Acad9	Coq6	NA
Itgb7	Ajuba	Kcnip2	Slc25a39	NA
Abat	Akr1b10	Tmem150a	Cyc1	NA
Tmem94	Akr1b3	Tspan7	Hadh	NA
Asb11	Akt1s1	Cct7	Samm50	NA
Usp9y	Akt2	Npepl1	Suclg1	NA
Cdkn1c	Alas1	Rit1	Adk	NA
Gm47816	Aldh7a1	Mgrn1	Ndufa10	NA
Camk2b	Aldoa	Pdhx	Fh1	NA
Doc2b	Alg1	Klhdc3	Tprgl	NA
Htra3	Alox5	Cpox	Slc25a11	NA
Aldob	Anapc2	Dnajc28	Ppp1ca	NA
Scml2	Ankrd9	Sucla2	Cct5	NA
Tecrl	Ankzf1	Mrpl39	Mrpl37	NA
Myh7	Anxa2	Crispld2	Capzb	NA
Olfr1206	Ap1b1	Zfp706	Acaa2	NA
Tas2r114	Ap1m1	Rtn4ip1	Mdh1	NA
Slc20a2	Ap1s1	Gys1	Rxrg	NA
Col14a1	Ap2a2	Eif2b4	Ppp5c	NA
Cnksr2	Ap2m1	Plin3	Poldip2	NA
Gsta2	Ap3s1	Rom1	Idh3g	NA
Gm38299	Ap4s1	Actr3b	Ndufa9	NA
Tmem182	Ap5s1	Sh3bp5	Pgm2	NA
2010001K21Rik	Apbb1	Got1	Ndufs2	NA
Zfp423	Apeh	Bfar	Dnpep	NA
Ccng1	Apoo	Ublcp1	Mdh2	NA
Pnpla2	Arfgap1	Ube2h	Bsg	NA
Art3	Arhgef15	Dyrk2	Myzap	NA
Ldhd	Arhgef19	Psmd11	Des	NA
Ighv5-17	Arl1	Plod1	Immt	NA
Prodh	Arl2bp	Nkiras2	Prkaca	NA
Prf1	Arl6ip4	Ggcx	Mrpl45	NA
Msln	Arl6ip5	Fndc5	Acaa1a	NA
Cd99l2	Armc1	Trim63	Casq2	NA
Prl2a1	Arpc1a	Rab22a	Pygm	NA
Shtn1	Asb10	Laptm4b	Arf1	NA
Gm8446	Aspscr1	Scamp3	Rnf187	NA
Trmt2b	Atf1	Dap3	Dnajb2	NA
Slitrk2	Atg10	Uba5	Ube2g2	NA
Agtpbp1	Atg4d	Osgep	Psmc4	NA
Cxcl14	Atg5	Ptdss2	Snta1	NA
Cd6	Atp13a2	Pex10	Hmgcl	NA
Ythdc2	Atp1b3	Vldlr	Txn2	NA
Klra9	Atp6ap1	Mkrn2	Ldhb	NA
Cdkl5	Atp6v0a1	Cct6a	Ctbp1	NA
Sesn1	Atp6v0d1	Tsfm	Smpd1	NA
Zbp1	Atp6v1a	Ei24	Yipf3	NA
Cd209f	Atp6v1d	Tmed2	Phb	NA
Tmprss13	BC003965	Pnkd	Obscn	NA
Gimap3	Babam1	Klhl22	Fbxw5	NA
Gm37109	Babam2	Eif4e	Sdhd	NA
1700065D16Rik	Bambi	Tars2	Slc25a5	NA
Ly86	Bbip1	Txndc15	Cops7a	NA
Pah	Bcam	Ybx1	NA	NA
Antxr1	Bcar1	Nudc	NA	NA
Scn4b	Bccip	Fam234a	NA	NA
Ttc39b	Bloc1s2	Polr2c	NA	NA
Loxl1	Blvra	Plin5	NA	NA
Srl	Borcs6	Pbxip1	NA	NA
Parp3	Borcs8	Blmh	NA	NA
Eif4a2	Bpnt1	Tarsl2	NA	NA
2310002L09Rik	Brix1	Fuca2	NA	NA
Snhg11	Btbd6	Acadl	NA	NA
Gspt2	Bysl	Tmem230	NA	NA
Frmd7	C130080G10Rik	Map2k3	NA	NA
Slc38a4	C1qtnf12	Mrps9	NA	NA
Naip5	Cacybp	Gpr157	NA	NA
Fbxo6	Camk2a	Apool	NA	NA
Tmtc2	Camta2	Pdss2	NA	NA
Rbpms2	Cavin3	Surf4	NA	NA
Pank1	Cby1	Apba3	NA	NA
Myo1f	Ccdc115	Mrps30	NA	NA
Pdha1	Ccdc127	Mrps25	NA	NA
Cntn5	Ccdc43	Aars2	NA	NA
Gm28919	Ccdc90b	H6pd	NA	NA
Gm42481	Ccl27a	Mpv17	NA	NA
Cd72	Ccnd3	Ipo13	NA	NA
Prune2	Ccny	Adh5	NA	NA
Ifi213	Cdc42ep1	Kmt5a	NA	NA
Gm18529	Cdh13	Amz2	NA	NA
C130093G08Rik	Cdk5	Uckl1	NA	NA
Zfp105	Cdkn2d	Tmem59	NA	NA
Ung	Cdpf1	Htra1	NA	NA
Ephx2	Celf1	Scarb1	NA	NA
Ube2d3	Cep104	Wipi1	NA	NA
Brwd3	Cep89	Tmem126b	NA	NA
Gm21188	Cfap20	Mrpl35	NA	NA
Cyb5d2	Chchd6	Cops3	NA	NA
Irf5	Chmp2b	Btbd2	NA	NA
Gm4951	Chtop	Rnf128	NA	NA
Slc25a4	Clasrp	Fnta	NA	NA
Gm11925	Clcc1	Rpn2	NA	NA
Eci1	Clptm1	Exoc7	NA	NA
Chpt1	Clptm1l	Slc25a13	NA	NA
Pcdhb14	Clu	Paqr4	NA	NA
Slc7a2	Cluh	2210016F16Rik	NA	NA
Kyat1	Clybl	Ppif	NA	NA
Armcx3	Cnot10	Rab2a	NA	NA
Rbm3	Coa7	Sgta	NA	NA
Acss3	Cog2	Acads	NA	NA
Sv2b	Col4a2	Dus3l	NA	NA
Oas1a	Col5a3	Dmac2	NA	NA
Cd209g	Colgalt1	Asb8	NA	NA
Ubl3	Commd8	Eef1akmt1	NA	NA
Kbtbd12	Comt	Aifm1	NA	NA
Prkab2	Copa	Chst4	NA	NA
4930415L06Rik	Copb2	Lrtm1	NA	NA
Fitm2	Cops4	Pex19	NA	NA
Sar1a	Coro6	Lmcd1	NA	NA
Obp1b	Cox11	Ncln	NA	NA
Lypd6	Cpe	Preb	NA	NA
Xdh	Creld1	Ubl4a	NA	NA
Crat	Crip2	Noa1	NA	NA
Acbd4	Cript	Mtch2	NA	NA
Drd2	Crtap	Atp1b1	NA	NA
Cdk6	Cstf1	Afg3l2	NA	NA
Gm7609	Ctnnb1	Rxrb	NA	NA
Ptprj	Ctnnbip1	Ostc	NA	NA
Prkaa2	Ctsf	Uqcc1	NA	NA
Thsd7a	Cuedc1	Hdhd2	NA	NA
Slamf7	Cxxc1	Ube2n	NA	NA
Pcdh11x	Cyb5r4	Car14	NA	NA
Phb2	Cycs	Vdac3	NA	NA
Mageb18	D230025D16Rik	Pgap2	NA	NA
Xaf1	Dars2	Ap3d1	NA	NA
Mef2c	Daxx	Pcca	NA	NA
Cd79b	Dcaf7	Flywch1	NA	NA
Slc22a3	Ddx39b	Fahd1	NA	NA
5330434G04Rik	Ddx47	Sf3b2	NA	NA
Brs3	Def8	Tpra1	NA	NA
Olfr964-ps1	Dennd6b	Ccdc97	NA	NA
Pnpla8	Dgcr6	Atpaf2	NA	NA
H2-Eb1	Dguok	Haus1	NA	NA
Negr1	Dhdds	Map7d1	NA	NA
Epb41l4a	Dhodh	Dnaja2	NA	NA
Maoa	Dhrs4	Emc3	NA	NA
Smarcd3	Dhrs7	Mcur1	NA	NA
Calr	Dhx30	Syngr2	NA	NA
Gm7896	Dis3l	Gid8	NA	NA
Ssxb10	Dmpk	Dda1	NA	NA
Sprr1a	Dnajc11	Emc2	NA	NA
Gm44668	Dnajc30	Aig1	NA	NA
Cpne7	Dnajc8	Xpnpep1	NA	NA
Sele	Dnm2	Mtif2	NA	NA
Il2rb	Dnttip2	Carnmt1	NA	NA
Cx3cr1	Dolk	Rdh14	NA	NA
Milr1	Dpp3	Gfra4	NA	NA
Cpt2	Drg2	Bag5	NA	NA
Spsb1	Dtd1	Mavs	NA	NA
Gm20824	Dusp28	Vps4a	NA	NA
Pde3b	Dut	Ak1	NA	NA
Slc7a8	Dync1li1	Ywhae	NA	NA
Mme	E130309D02Rik	Copg1	NA	NA
Gm5381	E2f4	Pgk1	NA	NA
Rcan2	Ebp	Rnpepl1	NA	NA
Ppef1	Egln1	Osgepl1	NA	NA
Pdk2	Ehmt2	Pde6d	NA	NA
Ms4a2	Eif1	Slc25a3	NA	NA
Vwc2	Eif2ak1	Ifngr2	NA	NA
Gm12184	Eif2b1	Pex6	NA	NA
Mettl11b	Eif2b5	Vps52	NA	NA
Oasl1	Eif2d	Capn2	NA	NA
Gm45163	Eif3c	Ube2j2	NA	NA
Gm14538	Eif3g	Vac14	NA	NA
Gfm1	Eif3l	Strap	NA	NA
Bnc2	Eif4e2	Vps33a	NA	NA
Igsf1	Eif4e3	Mesd	NA	NA
Vmn1r19	Eif6	Agpat3	NA	NA
Dgat2	Elac2	Ube2a	NA	NA
Slc40a1	Elp5	Immp1l	NA	NA
Myrf	Emc10	Sys1	NA	NA
Pir	Emp2	Flad1	NA	NA
Olfr1459	Eno1	Vezf1	NA	NA
Gm42818	Epn1	Myoz2	NA	NA
Dnajb11	Eprs	Lap3	NA	NA
Syp	Eri3	Gmpr	NA	NA
Cacfd1	Erp29	Zfp839	NA	NA
Cerkl	Erp44	Mrps27	NA	NA
4930412M03Rik	Esam	Faf1	NA	NA
Stard7	Etfa	Gins4	NA	NA
Upk3b	Etfrf1	Nudt9	NA	NA
Napsa	Exoc3	Fbxl6	NA	NA
Arfrp1	Extl1	Derl1	NA	NA
Aifm2	F8a	Rps6ka2	NA	NA
Kcnj14	Fam136a	Mterf2	NA	NA
Farsb	Fam160b2	Mipep	NA	NA
Olfr148	Fam174a	Cars2	NA	NA
3110067C02Rik	Fam20c	Gpc1	NA	NA
Dlgap1	Fam217b	Bag6	NA	NA
Olfr535	Fam222a	Mcat	NA	NA
Rgs14	Fam50a	Bckdhb	NA	NA
Zfp180	Fam53a	Cpsf1	NA	NA
Tenm3	Fam98c	Tuba4a	NA	NA
C330018D20Rik	Farsa	Pla2g12a	NA	NA
Usp26	Fastkd2	Ears2	NA	NA
Gm14867	Fbxo22	Hikeshi	NA	NA
Ikzf1	Fcgrt	Oat	NA	NA
Rai14	Fem1a	Gdpd1	NA	NA
4933431K23Rik	Fez2	Ginm1	NA	NA
Olfr867	Fhl2	Popdc3	NA	NA
Dbt	Fiz1	Smyd2	NA	NA
