Trendy genes	Module genes	Trendy genes:Module genes	Trendy genes:Module genes:Hub genes
Kdm3b	NA	NA	NA
Adam3	NA	NA	NA
Pdgfra	NA	NA	NA
Igfals	NA	NA	NA
Ighv1-53	NA	NA	NA
Dock3	NA	NA	NA
Gpx4	NA	NA	NA
Tspan7	NA	NA	NA
Abcb1b	NA	NA	NA
CT010467.1	NA	NA	NA
Aplp2	NA	NA	NA
Ubc	NA	NA	NA
Stt3b	NA	NA	NA
Pdia4	NA	NA	NA
Kcne1l	NA	NA	NA
Pfdn5	NA	NA	NA
St8sia5	NA	NA	NA
Atp6v1g1	NA	NA	NA
Gm10636	NA	NA	NA
Gm14305	NA	NA	NA
Eif2ak4	NA	NA	NA
Reep5	NA	NA	NA
Nup210	NA	NA	NA
Olfr1029	NA	NA	NA
Sparc	NA	NA	NA
Morn4	NA	NA	NA
1110015O18Rik	NA	NA	NA
Col6a2	NA	NA	NA
Igfbp6	NA	NA	NA
4930578M01Rik	NA	NA	NA
Pdk1	NA	NA	NA
Ccdc85c	NA	NA	NA
Gsr	NA	NA	NA
Gm7984	NA	NA	NA
Olfr1294	NA	NA	NA
Jam2	NA	NA	NA
Sgo2b	NA	NA	NA
4933409G03Rik	NA	NA	NA
Gsn	NA	NA	NA
Gm18990	NA	NA	NA
Fcgr3	NA	NA	NA
Skint4	NA	NA	NA
Map1lc3a	NA	NA	NA
Rab40b	NA	NA	NA
Tgfbi	NA	NA	NA
Rtl3	NA	NA	NA
Fam136a	NA	NA	NA
Grem2	NA	NA	NA
Isca1	NA	NA	NA
Hs3st3b1	NA	NA	NA
Smcr8	NA	NA	NA
Exoc2	NA	NA	NA
Arpc5l	NA	NA	NA
Vmn2r4	NA	NA	NA
Sbk1	NA	NA	NA
Phyhd1	NA	NA	NA
Gm49238	NA	NA	NA
Nav2	NA	NA	NA
Arhgef18	NA	NA	NA
Pdcl3	NA	NA	NA
Hephl1	NA	NA	NA
Dpep1	NA	NA	NA
Gm14895	NA	NA	NA
Trem2	NA	NA	NA
Col6a1	NA	NA	NA
Gm37639	NA	NA	NA
Gm48366	NA	NA	NA
Ifit3b	NA	NA	NA
Maz	NA	NA	NA
B230312C02Rik	NA	NA	NA
Nomo1	NA	NA	NA
Vgll3	NA	NA	NA
Inpp5d	NA	NA	NA
Arhgap44	NA	NA	NA
Gm38404	NA	NA	NA
Gpc1	NA	NA	NA
Cxcl12	NA	NA	NA
Cltb	NA	NA	NA
Fer1l6	NA	NA	NA
BC051142	NA	NA	NA
Olfr780	NA	NA	NA
Mpzl3	NA	NA	NA
Cd34	NA	NA	NA
