Trendy genes	Module genes	Trendy genes:Module genes	Trendy genes:Module genes:Hub genes
Miga1	NA	NA	NA
Nsmf	NA	NA	NA
Slc5a4b	NA	NA	NA
Slc47a1	NA	NA	NA
Gm26982	NA	NA	NA
Itm2c	NA	NA	NA
Gm14319	NA	NA	NA
E130308A19Rik	NA	NA	NA
Cd63	NA	NA	NA
Gm4211	NA	NA	NA
Gm19327	NA	NA	NA
Unc119b	NA	NA	NA
Srebf1	NA	NA	NA
Trat1	NA	NA	NA
Lama5	NA	NA	NA
Rtraf	NA	NA	NA
Tmem39a	NA	NA	NA
Prrg3	NA	NA	NA
Anxa2	NA	NA	NA
Prtg	NA	NA	NA
Emp1	NA	NA	NA
Col11a1	NA	NA	NA
Fam221a	NA	NA	NA
Rpl41	NA	NA	NA
Cd22	NA	NA	NA
Ugt2b1	NA	NA	NA
Telo2	NA	NA	NA
Art1	NA	NA	NA
Tm9sf4	NA	NA	NA
P2rx5	NA	NA	NA
Zscan25	NA	NA	NA
Gbp9	NA	NA	NA
St6galnac4	NA	NA	NA
Adamts10	NA	NA	NA
Ckb	NA	NA	NA
Atf5	NA	NA	NA
Agps	NA	NA	NA
Ireb2	NA	NA	NA
Ccl9	NA	NA	NA
Ntmt1	NA	NA	NA
Vmn1r61	NA	NA	NA
Olfr78	NA	NA	NA
Mpped2	NA	NA	NA
Amd-ps3	NA	NA	NA
Cfp	NA	NA	NA
Xkr6	NA	NA	NA
Map4k4	NA	NA	NA
Klhdc8a	NA	NA	NA
Atrn	NA	NA	NA
St3gal6	NA	NA	NA
Lin52	NA	NA	NA
Ciart	NA	NA	NA
Lrrc31	NA	NA	NA
Larp4b	NA	NA	NA
Gca	NA	NA	NA
Arrb1	NA	NA	NA
Gm42603	NA	NA	NA
Cdk5rap3	NA	NA	NA
Gm38375	NA	NA	NA
Focad	NA	NA	NA
Ntn1	NA	NA	NA
A530058N18Rik	NA	NA	NA
Gm26903	NA	NA	NA
Scn1b	NA	NA	NA
1810055G02Rik	NA	NA	NA
Pkd2	NA	NA	NA
Avpi1	NA	NA	NA
Dcn	NA	NA	NA
Vps28	NA	NA	NA
Nln	NA	NA	NA
Nme4	NA	NA	NA
Hbb-bs	NA	NA	NA
Dpyd	NA	NA	NA
Prokr2	NA	NA	NA
Tspan13	NA	NA	NA
Epb41l2	NA	NA	NA
Mob1a	NA	NA	NA
Fam174a	NA	NA	NA
Rhoj	NA	NA	NA
Elovl1	NA	NA	NA
Notch3	NA	NA	NA
Casq1	NA	NA	NA
P2ry2	NA	NA	NA
Psmc6	NA	NA	NA
Fzd1	NA	NA	NA
Prps1l3	NA	NA	NA
Pdk4	NA	NA	NA
Mrs2	NA	NA	NA
Slf1	NA	NA	NA
Pla2g5	NA	NA	NA
Rabac1	NA	NA	NA
Gm19111	NA	NA	NA
Lrp1	NA	NA	NA
Ret	NA	NA	NA
Togaram2	NA	NA	NA
Dvl1	NA	NA	NA
Slc25a51	NA	NA	NA
Mfap4	NA	NA	NA
Khnyn	NA	NA	NA
Srpx	NA	NA	NA
Fut8	NA	NA	NA
Fcrls	NA	NA	NA
Tpp1	NA	NA	NA
Plod3	NA	NA	NA
Ms4a4a	NA	NA	NA
Dpy19l3	NA	NA	NA
