Trendy genes	Module genes	Trendy genes:Module genes	Trendy genes:Module genes:Hub genes	Module genes:Hub genes
Gm43834	NA	NA	NA	NA
Olfr1269	NA	NA	NA	NA
Cyp4a28-ps	NA	NA	NA	NA
Bin1	NA	NA	NA	NA
Vmn1r195	NA	NA	NA	NA
Serinc3	NA	NA	NA	NA
Olfr970	NA	NA	NA	NA
Sel1l3	NA	NA	NA	NA
Cd24a	NA	NA	NA	NA
Srl	NA	NA	NA	NA
Pkig	NA	NA	NA	NA
Mpnd	NA	NA	NA	NA
Olfr366	NA	NA	NA	NA
Tff1	NA	NA	NA	NA
Tbcb	NA	NA	NA	NA
Lman2l	NA	NA	NA	NA
Mllt11	NA	NA	NA	NA
Krt1	NA	NA	NA	NA
Col15a1	NA	NA	NA	NA
Mfsd6	NA	NA	NA	NA
Igf1	NA	NA	NA	NA
Gpr26	NA	NA	NA	NA
Fam53a	NA	NA	NA	NA
Smtnl1	NA	NA	NA	NA
Serpinf1	NA	NA	NA	NA
Tprgl	NA	NA	NA	NA
Cyp2c67	NA	NA	NA	NA
Exoc5	NA	NA	NA	NA
Brca1	NA	NA	NA	NA
Gm38158	NA	NA	NA	NA
Dnajb6	NA	NA	NA	NA
Gm26814	NA	NA	NA	NA
Gm15478	NA	NA	NA	NA
Col4a1	NA	NA	NA	NA
Got2	NA	NA	NA	NA
Clic6	NA	NA	NA	NA
Rnf114	NA	NA	NA	NA
Pld5	NA	NA	NA	NA
Pou4f1	NA	NA	NA	NA
Cnbp	NA	NA	NA	NA
Olfr461	NA	NA	NA	NA
Vmn2r65	NA	NA	NA	NA
Myh2	NA	NA	NA	NA
Gm7265	NA	NA	NA	NA
Ets1	NA	NA	NA	NA
Akap4	NA	NA	NA	NA
Mchr1	NA	NA	NA	NA
Rab2a	NA	NA	NA	NA
Ripor2	NA	NA	NA	NA
P2ry1	NA	NA	NA	NA
Tbx15	NA	NA	NA	NA
Rpl27	NA	NA	NA	NA
Mapre3	NA	NA	NA	NA
Swsap1	NA	NA	NA	NA
Cyp3a11	NA	NA	NA	NA
Atp5g3	NA	NA	NA	NA
Ccdc85a	NA	NA	NA	NA
Cacna1e	NA	NA	NA	NA
Ston2	NA	NA	NA	NA
Eif4ebp2	NA	NA	NA	NA
4930568E12Rik	NA	NA	NA	NA
Nxph2	NA	NA	NA	NA
Gm3234	NA	NA	NA	NA
Tcf7	NA	NA	NA	NA
Ms4a1	NA	NA	NA	NA
Rflnb	NA	NA	NA	NA
Ltbr	NA	NA	NA	NA
H2-Eb2	NA	NA	NA	NA
Fth1	NA	NA	NA	NA
Lamc1	NA	NA	NA	NA
Spata3	NA	NA	NA	NA
Gbp4	NA	NA	NA	NA
Dstn	NA	NA	NA	NA
Lipc	NA	NA	NA	NA
Nedd4l	NA	NA	NA	NA
6430710M23Rik	NA	NA	NA	NA
Lrrc9	NA	NA	NA	NA
Creb3l1	NA	NA	NA	NA
Mrps12	NA	NA	NA	NA
Tmem30b	NA	NA	NA	NA
Spag7	NA	NA	NA	NA
Olfr1406	NA	NA	NA	NA
Tmem178b	NA	NA	NA	NA
Slc44a5	NA	NA	NA	NA
Rab4a	NA	NA	NA	NA
Gm28800	NA	NA	NA	NA
Galnt17	NA	NA	NA	NA
Slc25a28	NA	NA	NA	NA
Isg20	NA	NA	NA	NA
Mug-ps1	NA	NA	NA	NA
Adrm1	NA	NA	NA	NA
Coro6	NA	NA	NA	NA
Olfr1447	NA	NA	NA	NA
Entpd1	NA	NA	NA	NA
Vmn1r66	NA	NA	NA	NA
Srrm4os	NA	NA	NA	NA
Vps72	NA	NA	NA	NA
4930558J18Rik	NA	NA	NA	NA
Cirbp	NA	NA	NA	NA
Glb1	NA	NA	NA	NA
Asb17	NA	NA	NA	NA
Plod1	NA	NA	NA	NA
Kmt5c	NA	NA	NA	NA
Nfil3	NA	NA	NA	NA
Gm38253	NA	NA	NA	NA
A630073D07Rik	NA	NA	NA	NA
Sipa1	NA	NA	NA	NA
Fibin	NA	NA	NA	NA
Angptl1	NA	NA	NA	NA
Fgf2	NA	NA	NA	NA
Egfr	NA	NA	NA	NA
Pcolce	NA	NA	NA	NA
Defa29	NA	NA	NA	NA
Crhr2	NA	NA	NA	NA
Sem1	NA	NA	NA	NA
Eef2k	NA	NA	NA	NA
Tmprss11g	NA	NA	NA	NA
Aldh3b1	NA	NA	NA	NA
Atp1b2	NA	NA	NA	NA
Dnah9	NA	NA	NA	NA
Zfp703	NA	NA	NA	NA
Map7	NA	NA	NA	NA
Mrpl14	NA	NA	NA	NA
Gm48395	NA	NA	NA	NA
Plod2	NA	NA	NA	NA
Nxn	NA	NA	NA	NA
Cry2	NA	NA	NA	NA
Atp6v1h	NA	NA	NA	NA
Arpp19	NA	NA	NA	NA
Ctnnbl1	NA	NA	NA	NA
Cox5a	NA	NA	NA	NA
Fam20b	NA	NA	NA	NA
Tmem100	NA	NA	NA	NA
Des	NA	NA	NA	NA
Rora	NA	NA	NA	NA
Maged1	NA	NA	NA	NA
Ccdc85b	NA	NA	NA	NA
Cds1	NA	NA	NA	NA
Riok3	NA	NA	NA	NA
Ppid	NA	NA	NA	NA
5730420D15Rik	NA	NA	NA	NA
Cadm1	NA	NA	NA	NA
Itgbl1	NA	NA	NA	NA
Gm29133	NA	NA	NA	NA
4930432J09Rik	NA	NA	NA	NA
4933404O12Rik	NA	NA	NA	NA
Grb10	NA	NA	NA	NA
Olfr612	NA	NA	NA	NA
Cfap161	NA	NA	NA	NA
Fzd4	NA	NA	NA	NA
Chodl	NA	NA	NA	NA
Sqstm1	NA	NA	NA	NA
Sypl2	NA	NA	NA	NA
Oaz1	NA	NA	NA	NA
Olfr447	NA	NA	NA	NA
Mup2	NA	NA	NA	NA
Gap43	NA	NA	NA	NA
Stk33	NA	NA	NA	NA
Knstrn	NA	NA	NA	NA
Kcnab1	NA	NA	NA	NA
Acvr1	NA	NA	NA	NA
Irx3	NA	NA	NA	NA
Pdlim5	NA	NA	NA	NA
Prkag3	NA	NA	NA	NA
Ndufa8	NA	NA	NA	NA
Prss2	NA	NA	NA	NA
Olfr911-ps1	NA	NA	NA	NA
Crtap	NA	NA	NA	NA
Thbs4	NA	NA	NA	NA
Zranb1	NA	NA	NA	NA
Polr2m	NA	NA	NA	NA
Vac14	NA	NA	NA	NA
Col7a1	NA	NA	NA	NA
Zfp52	NA	NA	NA	NA
Lipk	NA	NA	NA	NA
Tnni2	NA	NA	NA	NA
Psmb1	NA	NA	NA	NA
4933424G06Rik	NA	NA	NA	NA
Gm12514	NA	NA	NA	NA
Fam229a	NA	NA	NA	NA
Cachd1	NA	NA	NA	NA
C4bp	NA	NA	NA	NA
Rian	NA	NA	NA	NA
Maco1	NA	NA	NA	NA
Pebp1	NA	NA	NA	NA
Mbnl2	NA	NA	NA	NA
Gpr107	NA	NA	NA	NA
Fhad1	NA	NA	NA	NA
Pfkfb1	NA	NA	NA	NA
Ggta1	NA	NA	NA	NA
Gm14261	NA	NA	NA	NA
Mef2c	NA	NA	NA	NA
Zcwpw1	NA	NA	NA	NA
Tmc2	NA	NA	NA	NA
Ampd3	NA	NA	NA	NA
Platr31	NA	NA	NA	NA
Kbtbd13	NA	NA	NA	NA
Gkn2	NA	NA	NA	NA
Aurka	NA	NA	NA	NA
Kcmf1	NA	NA	NA	NA
Nufip1	NA	NA	NA	NA
Gm43016	NA	NA	NA	NA
Erc2	NA	NA	NA	NA
Gm44724	NA	NA	NA	NA
Pid1	NA	NA	NA	NA
Olfr1256	NA	NA	NA	NA
Pus1	NA	NA	NA	NA
Epb41l5	NA	NA	NA	NA
Col9a1	NA	NA	NA	NA
Olfml3	NA	NA	NA	NA
Gpc3	NA	NA	NA	NA
Zfp358	NA	NA	NA	NA
Serpinh1	NA	NA	NA	NA
Lrrn1	NA	NA	NA	NA
Gm49526	NA	NA	NA	NA
Tmod4	NA	NA	NA	NA
Adam17	NA	NA	NA	NA
Olfr566	NA	NA	NA	NA
Srebf2	NA	NA	NA	NA
Ccdc122	NA	NA	NA	NA
Ntng2	NA	NA	NA	NA
Itgb5	NA	NA	NA	NA
Tmf1	NA	NA	NA	NA
Rps14	NA	NA	NA	NA
Tnfrsf11b	NA	NA	NA	NA
Zdhhc18	NA	NA	NA	NA
Gm16169	NA	NA	NA	NA
Atg4a	NA	NA	NA	NA
Drp2	NA	NA	NA	NA
Prr5	NA	NA	NA	NA
Dmd	NA	NA	NA	NA
Kcnj11	NA	NA	NA	NA
Dhrs7c	NA	NA	NA	NA
Pdp1	NA	NA	NA	NA
Nid1	NA	NA	NA	NA
Mettl21e	NA	NA	NA	NA
Gm44229	NA	NA	NA	NA
Tdg	NA	NA	NA	NA
Myoz2	NA	NA	NA	NA
Tpx2	NA	NA	NA	NA
Ccdc137	NA	NA	NA	NA
Zdhhc4	NA	NA	NA	NA
Msrb3	NA	NA	NA	NA
Mrpl28	NA	NA	NA	NA
Dok2	NA	NA	NA	NA
Vmn1r82	NA	NA	NA	NA
5730522E02Rik	NA	NA	NA	NA
Gprc5b	NA	NA	NA	NA
Nol3	NA	NA	NA	NA
Gm45084	NA	NA	NA	NA
Cdc14a	NA	NA	NA	NA
Lyz1	NA	NA	NA	NA
Nploc4	NA	NA	NA	NA
Rpl22	NA	NA	NA	NA
Rpa1	NA	NA	NA	NA
Stx6	NA	NA	NA	NA
Stt3a	NA	NA	NA	NA
Sod3	NA	NA	NA	NA
AB124611	NA	NA	NA	NA
Piezo1	NA	NA	NA	NA
Kif28	NA	NA	NA	NA
Pam16	NA	NA	NA	NA
Bod1	NA	NA	NA	NA
Trp53inp2	NA	NA	NA	NA
Ace	NA	NA	NA	NA
Gm18646	NA	NA	NA	NA
Gm37211	NA	NA	NA	NA
