Trendy genes	Trendy genes:Module genes	Module genes	Trendy genes:Module genes:Hub genes	Module genes:Hub genes
Cygb	NA	NA	NA	NA
Atp6v0d1	NA	NA	NA	NA
Ufd1	NA	NA	NA	NA
Gimap8	NA	NA	NA	NA
Ighm	NA	NA	NA	NA
Npr2	NA	NA	NA	NA
Catsper2	NA	NA	NA	NA
Tars2	NA	NA	NA	NA
Mpi	NA	NA	NA	NA
Psmb8	NA	NA	NA	NA
Gpx6	NA	NA	NA	NA
Kyat1	NA	NA	NA	NA
Appl1	NA	NA	NA	NA
Marveld3	NA	NA	NA	NA
Inhbc	NA	NA	NA	NA
Col20a1	NA	NA	NA	NA
Drg1	NA	NA	NA	NA
Ngly1	NA	NA	NA	NA
Gstm2	NA	NA	NA	NA
Eprs	NA	NA	NA	NA
Mmp12	NA	NA	NA	NA
Dntt	NA	NA	NA	NA
Paip2	NA	NA	NA	NA
Mtch1	NA	NA	NA	NA
Id4	NA	NA	NA	NA
Pno1	NA	NA	NA	NA
Hvcn1	NA	NA	NA	NA
Arntl2	NA	NA	NA	NA
Rdh16	NA	NA	NA	NA
Plec	NA	NA	NA	NA
Rtn3	NA	NA	NA	NA
Susd2	NA	NA	NA	NA
Smim19	NA	NA	NA	NA
Cyp2a5	NA	NA	NA	NA
Csnk1d	NA	NA	NA	NA
Pitpnm1	NA	NA	NA	NA
Nfs1	NA	NA	NA	NA
Tnpo3	NA	NA	NA	NA
4930581F22Rik	NA	NA	NA	NA
Cpt2	NA	NA	NA	NA
Tmed5	NA	NA	NA	NA
Zfp536	NA	NA	NA	NA
Gm16090	NA	NA	NA	NA
Serpinc1	NA	NA	NA	NA
E2f8	NA	NA	NA	NA
Wdfy4	NA	NA	NA	NA
1110018N20Rik	NA	NA	NA	NA
Hyal1	NA	NA	NA	NA
Arpc1b	NA	NA	NA	NA
Aars	NA	NA	NA	NA
Selenop	NA	NA	NA	NA
Mpp6	NA	NA	NA	NA
Lamc3	NA	NA	NA	NA
Cmpk1	NA	NA	NA	NA
Tpst2	NA	NA	NA	NA
Ctr9	NA	NA	NA	NA
Cabyr	NA	NA	NA	NA
Izumo4	NA	NA	NA	NA
Sds	NA	NA	NA	NA
Wdr38	NA	NA	NA	NA
Lilr4b	NA	NA	NA	NA
Sh3bgrl3	NA	NA	NA	NA
Fam210b	NA	NA	NA	NA
Ddx1	NA	NA	NA	NA
Ly6e	NA	NA	NA	NA
Nap1l3	NA	NA	NA	NA
Ints11	NA	NA	NA	NA
Mapre3	NA	NA	NA	NA
Slc17a3	NA	NA	NA	NA
Hsd17b4	NA	NA	NA	NA
4833411C07Rik	NA	NA	NA	NA
Smpd1	NA	NA	NA	NA
Cnih1	NA	NA	NA	NA
Snap47	NA	NA	NA	NA
Fam210a	NA	NA	NA	NA
Asns	NA	NA	NA	NA
Naip2	NA	NA	NA	NA
Nkx2-6	NA	NA	NA	NA
Pcdh18	NA	NA	NA	NA
Cib1	NA	NA	NA	NA
1700092C10Rik	NA	NA	NA	NA
Gm48529	NA	NA	NA	NA
Srl	NA	NA	NA	NA
Try5	NA	NA	NA	NA
Mecr	NA	NA	NA	NA
Prep	NA	NA	NA	NA
Ugt2b36	NA	NA	NA	NA
Ormdl2	NA	NA	NA	NA
Gm19619	NA	NA	NA	NA
Shisa3	NA	NA	NA	NA
Acnat1	NA	NA	NA	NA
Fdft1	NA	NA	NA	NA
Jchain	NA	NA	NA	NA
Vsig4	NA	NA	NA	NA
6030458C11Rik	NA	NA	NA	NA
Bap1	NA	NA	NA	NA
Gm10827	NA	NA	NA	NA
Arpc5l	NA	NA	NA	NA
Gm20540	NA	NA	NA	NA
Cyp4f13	NA	NA	NA	NA
B430212C06Rik	NA	NA	NA	NA
Gpr141b	NA	NA	NA	NA
Brsk2	NA	NA	NA	NA
Tnxb	NA	NA	NA	NA
Serpina4-ps1	NA	NA	NA	NA
C78197	NA	NA	NA	NA
Mgmt	NA	NA	NA	NA
Apol7e	NA	NA	NA	NA
Trdmt1	NA	NA	NA	NA
Trim12a	NA	NA	NA	NA
Nudt16l1	NA	NA	NA	NA
Vps28	NA	NA	NA	NA
Ubqln1	NA	NA	NA	NA
Trip6	NA	NA	NA	NA
Bag1	NA	NA	NA	NA
Dnajb11	NA	NA	NA	NA
Derl3	NA	NA	NA	NA
Kctd2	NA	NA	NA	NA
Ddx41	NA	NA	NA	NA
Osbpl9	NA	NA	NA	NA
Zbtb42	NA	NA	NA	NA
Slc25a53	NA	NA	NA	NA
Coq5	NA	NA	NA	NA
Adra2b	NA	NA	NA	NA
Bop1	NA	NA	NA	NA
Lamp1	NA	NA	NA	NA
Setd4	NA	NA	NA	NA
Ly6a	NA	NA	NA	NA
Tcirg1	NA	NA	NA	NA
Tent5a	NA	NA	NA	NA
Popdc3	NA	NA	NA	NA
Tnfrsf19	NA	NA	NA	NA
Kctd15	NA	NA	NA	NA
Rfx5	NA	NA	NA	NA
Gm13021	NA	NA	NA	NA
Aldh1b1	NA	NA	NA	NA
Sntg2	NA	NA	NA	NA
Mmp23	NA	NA	NA	NA
Sh3bp2	NA	NA	NA	NA
Gstm7	NA	NA	NA	NA
Atp13a1	NA	NA	NA	NA
Csf1	NA	NA	NA	NA
Mul1	NA	NA	NA	NA
Chmp7	NA	NA	NA	NA
Gm37332	NA	NA	NA	NA
Ttc8	NA	NA	NA	NA
Pnpla3	NA	NA	NA	NA
Rdh11	NA	NA	NA	NA
Eloa	NA	NA	NA	NA
Gbf1	NA	NA	NA	NA
Card11	NA	NA	NA	NA
Hhipl2	NA	NA	NA	NA
Pdilt	NA	NA	NA	NA
Cyb5r4	NA	NA	NA	NA
Usp22	NA	NA	NA	NA
Chid1	NA	NA	NA	NA
Ihh	NA	NA	NA	NA
Atrn	NA	NA	NA	NA
Tmem33	NA	NA	NA	NA
Zfp787	NA	NA	NA	NA
Unc119b	NA	NA	NA	NA
Cep76	NA	NA	NA	NA
Gm43313	NA	NA	NA	NA
Cap1	NA	NA	NA	NA
Upf1	NA	NA	NA	NA
Gm15982	NA	NA	NA	NA
Gm45716	NA	NA	NA	NA
1300017J02Rik	NA	NA	NA	NA
Tpp2	NA	NA	NA	NA
Rab6a	NA	NA	NA	NA
Gm10762	NA	NA	NA	NA
Fam219b	NA	NA	NA	NA
Zfp422	NA	NA	NA	NA
Hint3	NA	NA	NA	NA
Arhgap24	NA	NA	NA	NA
Adamdec1	NA	NA	NA	NA
Zbtb7c	NA	NA	NA	NA
Prpf18	NA	NA	NA	NA
Grn	NA	NA	NA	NA
Tspan31	NA	NA	NA	NA
Adh1	NA	NA	NA	NA
A4galt	NA	NA	NA	NA
Pla2g7	NA	NA	NA	NA
Xdh	NA	NA	NA	NA
Psmd1	NA	NA	NA	NA
Dennd1a	NA	NA	NA	NA
Bdh2	NA	NA	NA	NA
Fmn1	NA	NA	NA	NA
Gm45792	NA	NA	NA	NA
Kpna1	NA	NA	NA	NA
Abr	NA	NA	NA	NA
Gm30262	NA	NA	NA	NA
Bcat2	NA	NA	NA	NA
Cmas	NA	NA	NA	NA
Olfr1029	NA	NA	NA	NA
D630033O11Rik	NA	NA	NA	NA
Tmem71	NA	NA	NA	NA
Mup2	NA	NA	NA	NA
Wsb1	NA	NA	NA	NA
Pms1	NA	NA	NA	NA
Gbp9	NA	NA	NA	NA
Armcx3	NA	NA	NA	NA
Per3	NA	NA	NA	NA
Sema3f	NA	NA	NA	NA
Agtrap	NA	NA	NA	NA
Aida	NA	NA	NA	NA
Selenos	NA	NA	NA	NA
Trim30a	NA	NA	NA	NA
Fam172a	NA	NA	NA	NA
Cyp20a1	NA	NA	NA	NA
Eif5a	NA	NA	NA	NA
Rras	NA	NA	NA	NA
Cdh18	NA	NA	NA	NA
Pcsk9	NA	NA	NA	NA
Reep5	NA	NA	NA	NA
Tank	NA	NA	NA	NA
Plpp3	NA	NA	NA	NA
Ddb1	NA	NA	NA	NA
Vapa	NA	NA	NA	NA
Stradb	NA	NA	NA	NA
Ces2c	NA	NA	NA	NA
Ndrg3	NA	NA	NA	NA
Blnk	NA	NA	NA	NA
Scarf2	NA	NA	NA	NA
Commd10	NA	NA	NA	NA
Efr3a	NA	NA	NA	NA
Rtp4	NA	NA	NA	NA
Pkp2	NA	NA	NA	NA
Ces1e	NA	NA	NA	NA
Gm46411	NA	NA	NA	NA
Tmem237	NA	NA	NA	NA
Cobl	NA	NA	NA	NA
Isg15	NA	NA	NA	NA
Ms4a7	NA	NA	NA	NA
Vmn1r-ps32	NA	NA	NA	NA
Tmem147	NA	NA	NA	NA
Yipf2	NA	NA	NA	NA
Wwc2	NA	NA	NA	NA
Haus4	NA	NA	NA	NA
Pde4c	NA	NA	NA	NA
Rasa4	NA	NA	NA	NA
Them4	NA	NA	NA	NA
Bok	NA	NA	NA	NA
Tiparp	NA	NA	NA	NA
S1pr3	NA	NA	NA	NA
Epb41l4b	NA	NA	NA	NA
Adgre5	NA	NA	NA	NA
Prkca	NA	NA	NA	NA
Sbk1	NA	NA	NA	NA
Psmd13	NA	NA	NA	NA
Me3	NA	NA	NA	NA
Gpsm2	NA	NA	NA	NA
Gm43413	NA	NA	NA	NA
Psmb10	NA	NA	NA	NA
Ttc36	NA	NA	NA	NA
Cd84	NA	NA	NA	NA
Pnpo	NA	NA	NA	NA
Slc37a1	NA	NA	NA	NA
Igf1	NA	NA	NA	NA
Slamf7	NA	NA	NA	NA
Cx3cr1	NA	NA	NA	NA
Gbe1	NA	NA	NA	NA
Ttc13	NA	NA	NA	NA
Mlkl	NA	NA	NA	NA
Slc39a5	NA	NA	NA	NA
Gm48485	NA	NA	NA	NA
Tubg1	NA	NA	NA	NA
Egln3	NA	NA	NA	NA
Eps8l1	NA	NA	NA	NA
Cnp	NA	NA	NA	NA
Ppp1r3a	NA	NA	NA	NA
AI182371	NA	NA	NA	NA
Slc35e2	NA	NA	NA	NA
Cyp3a41b	NA	NA	NA	NA
Mettl15	NA	NA	NA	NA
Olfr121	NA	NA	NA	NA
Tcf21	NA	NA	NA	NA
Pik3ap1	NA	NA	NA	NA
Iffo1	NA	NA	NA	NA
Mtif2	NA	NA	NA	NA
Magee1	NA	NA	NA	NA
C1galt1c1	NA	NA	NA	NA
Rbpms	NA	NA	NA	NA
Chchd10	NA	NA	NA	NA
Zbp1	NA	NA	NA	NA
Cd163	NA	NA	NA	NA
Itfg1	NA	NA	NA	NA
Rnpepl1	NA	NA	NA	NA
D030034A15Rik	NA	NA	NA	NA
Syk	NA	NA	NA	NA
Gm40841	NA	NA	NA	NA
Cyp4f18	NA	NA	NA	NA
St7l	NA	NA	NA	NA
Il17ra	NA	NA	NA	NA
Tmed9	NA	NA	NA	NA
Vipas39	NA	NA	NA	NA
Ifi27l2b	NA	NA	NA	NA
Gm45871	NA	NA	NA	NA
Raf1	NA	NA	NA	NA
Gm33447	NA	NA	NA	NA
Osgep	NA	NA	NA	NA
Rapgef4	NA	NA	NA	NA
Ranbp3	NA	NA	NA	NA
Cyp3a16	NA	NA	NA	NA
Ccdc171	NA	NA	NA	NA
Shld1	NA	NA	NA	NA
Tmem268	NA	NA	NA	NA
Mbtps1	NA	NA	NA	NA
Fzd6	NA	NA	NA	NA
Wrnip1	NA	NA	NA	NA
Mtmr14	NA	NA	NA	NA
Coro2a	NA	NA	NA	NA
Lmf1	NA	NA	NA	NA
Clec7a	NA	NA	NA	NA
Dmgdh	NA	NA	NA	NA
Nrp1	NA	NA	NA	NA
Gm45163	NA	NA	NA	NA
Dusp5	NA	NA	NA	NA
Dnajc18	NA	NA	NA	NA
Slc27a2	NA	NA	NA	NA
Snhg17	NA	NA	NA	NA
Strap	NA	NA	NA	NA
Zmpste24	NA	NA	NA	NA
Acad10	NA	NA	NA	NA
Cyp2d41-ps	NA	NA	NA	NA
Cct6a	NA	NA	NA	NA
Washc2	NA	NA	NA	NA
Fam131c	NA	NA	NA	NA
Stk39	NA	NA	NA	NA
Mettl26	NA	NA	NA	NA
H2-Q6	NA	NA	NA	NA
Pes1	NA	NA	NA	NA
Pts	NA	NA	NA	NA
Fbxo4	NA	NA	NA	NA
F830016B08Rik	NA	NA	NA	NA
Hhipl1	NA	NA	NA	NA
Gm38416	NA	NA	NA	NA
Jpx	NA	NA	NA	NA
Capn6	NA	NA	NA	NA
Sec11a	NA	NA	NA	NA
Cd3d	NA	NA	NA	NA
Cebpe	NA	NA	NA	NA
Uchl5	NA	NA	NA	NA
Hsd17b13	NA	NA	NA	NA
Tmem11	NA	NA	NA	NA
Papss1	NA	NA	NA	NA
Tedc2	NA	NA	NA	NA
Ciita	NA	NA	NA	NA
H2-Eb1	NA	NA	NA	NA
P3h4	NA	NA	NA	NA
Gm28187	NA	NA	NA	NA
Tcf24	NA	NA	NA	NA
Slc25a42	NA	NA	NA	NA
Gcgr	NA	NA	NA	NA
Snw1	NA	NA	NA	NA
Pianp	NA	NA	NA	NA
Actg1	NA	NA	NA	NA
Sec24d	NA	NA	NA	NA
Lrpprc	NA	NA	NA	NA
Vim	NA	NA	NA	NA
Akirin1	NA	NA	NA	NA
Lacc1	NA	NA	NA	NA
Inpp5d	NA	NA	NA	NA
Cerk	NA	NA	NA	NA
Gnai2	NA	NA	NA	NA
Inafm2	NA	NA	NA	NA
Hsdl2	NA	NA	NA	NA
Gm47405	NA	NA	NA	NA
Amacr	NA	NA	NA	NA
Fermt2	NA	NA	NA	NA
Cct2	NA	NA	NA	NA
Ykt6	NA	NA	NA	NA
Umps	NA	NA	NA	NA
1600012H06Rik	NA	NA	NA	NA
Hectd1	NA	NA	NA	NA
Uck2	NA	NA	NA	NA
Ceacam1	NA	NA	NA	NA
Sema3b	NA	NA	NA	NA
Slc28a1	NA	NA	NA	NA
Tmem132e	NA	NA	NA	NA
Psph	NA	NA	NA	NA
Gbp2	NA	NA	NA	NA
Slc16a6	NA	NA	NA	NA
Lifr	NA	NA	NA	NA
Ttpa	NA	NA	NA	NA
Cnbp	NA	NA	NA	NA
Zfp592	NA	NA	NA	NA
Slc35b1	NA	NA	NA	NA
Bin2	NA	NA	NA	NA
Gnl2	NA	NA	NA	NA
Parp11	NA	NA	NA	NA
Nfe2	NA	NA	NA	NA
Hspa9	NA	NA	NA	NA
Insc	NA	NA	NA	NA
Map2k3	NA	NA	NA	NA
Il2rg	NA	NA	NA	NA
Gpx4	NA	NA	NA	NA
Hnrnpd	NA	NA	NA	NA
Coa5	NA	NA	NA	NA
Tbc1d15	NA	NA	NA	NA
Scara5	NA	NA	NA	NA
Pcmt1	NA	NA	NA	NA
Sh3kbp1	NA	NA	NA	NA
Adcy6	NA	NA	NA	NA
Lztfl1	NA	NA	NA	NA
Podn	NA	NA	NA	NA
Ccdc3	NA	NA	NA	NA
Prdx4	NA	NA	NA	NA
Naa25	NA	NA	NA	NA
Pdia3	NA	NA	NA	NA
Tubgcp4	NA	NA	NA	NA
Fgf12	NA	NA	NA	NA
Serinc2	NA	NA	NA	NA
Slc25a1	NA	NA	NA	NA
Psap	NA	NA	NA	NA
Lsp1	NA	NA	NA	NA
Pim1	NA	NA	NA	NA
Tnnt2	NA	NA	NA	NA
Slc44a2	NA	NA	NA	NA
Elovl1	NA	NA	NA	NA
Fkbp8	NA	NA	NA	NA
Ldlr	NA	NA	NA	NA
Slc38a9	NA	NA	NA	NA
Rnf6	NA	NA	NA	NA
Ssr1	NA	NA	NA	NA
Wnt5b	NA	NA	NA	NA
Il15	NA	NA	NA	NA
H2-Aa	NA	NA	NA	NA
Tmem216	NA	NA	NA	NA
Cradd	NA	NA	NA	NA
Amz1	NA	NA	NA	NA
Dio1	NA	NA	NA	NA
Apob	NA	NA	NA	NA
Jpt2	NA	NA	NA	NA
Col4a3	NA	NA	NA	NA
Psmd11	NA	NA	NA	NA
Abhd8	NA	NA	NA	NA
Hs3st6	NA	NA	NA	NA
Wipi2	NA	NA	NA	NA
Serpina1a	NA	NA	NA	NA
1700018L02Rik	NA	NA	NA	NA
Sort1	NA	NA	NA	NA
Ranbp9	NA	NA	NA	NA
Aldh4a1	NA	NA	NA	NA
Afp	NA	NA	NA	NA
Casp7	NA	NA	NA	NA
Capg	NA	NA	NA	NA
Ankrd46	NA	NA	NA	NA
Angptl2	NA	NA	NA	NA
Usp3	NA	NA	NA	NA
Pla2g15	NA	NA	NA	NA
Phkg2	NA	NA	NA	NA
Gm16548	NA	NA	NA	NA
Tmem167	NA	NA	NA	NA
Pdk1	NA	NA	NA	NA
Pbx1	NA	NA	NA	NA
Arhgef7	NA	NA	NA	NA
Creld1	NA	NA	NA	NA
Slc25a10	NA	NA	NA	NA
Acsm1	NA	NA	NA	NA
Angptl4	NA	NA	NA	NA
Cd7	NA	NA	NA	NA
Pycrl	NA	NA	NA	NA
Eef1g	NA	NA	NA	NA
Ccl25	NA	NA	NA	NA
Rnf146	NA	NA	NA	NA
Gt(ROSA)26Sor	NA	NA	NA	NA
Gga1	NA	NA	NA	NA
Gm48877	NA	NA	NA	NA
Amfr	NA	NA	NA	NA
Hnrnph2	NA	NA	NA	NA
Zpbp2	NA	NA	NA	NA
Zfp385a	NA	NA	NA	NA
Papola	NA	NA	NA	NA
Eif3g	NA	NA	NA	NA
4732465J04Rik	NA	NA	NA	NA
Mogat1	NA	NA	NA	NA
Jagn1	NA	NA	NA	NA
Fitm2	NA	NA	NA	NA
Insig2	NA	NA	NA	NA
Tlr3	NA	NA	NA	NA
Zbtb5	NA	NA	NA	NA
Rnf144b	NA	NA	NA	NA
Smad7	NA	NA	NA	NA
Glmp	NA	NA	NA	NA
Lefty1	NA	NA	NA	NA
Zfp281	NA	NA	NA	NA
Tyrobp	NA	NA	NA	NA
Gm16573	NA	NA	NA	NA
Trir	NA	NA	NA	NA
Dnah7b	NA	NA	NA	NA
2810006K23Rik	NA	NA	NA	NA
Map7	NA	NA	NA	NA
Khsrp	NA	NA	NA	NA
Mkks	NA	NA	NA	NA
Tm4sf1	NA	NA	NA	NA
Pltp	NA	NA	NA	NA
Myo1c	NA	NA	NA	NA
Oplah	NA	NA	NA	NA
Golph3	NA	NA	NA	NA
Dcaf8	NA	NA	NA	NA
Eng	NA	NA	NA	NA
Tmem183a	NA	NA	NA	NA
Tmsb4x	NA	NA	NA	NA
Dock11	NA	NA	NA	NA
AU021092	NA	NA	NA	NA
Notch2	NA	NA	NA	NA
Mbd3	NA	NA	NA	NA
Cyb5rl	NA	NA	NA	NA
Tigit	NA	NA	NA	NA
Slc25a40	NA	NA	NA	NA
Mir6392	NA	NA	NA	NA
Hic1	NA	NA	NA	NA
Smpd2	NA	NA	NA	NA
Synj2bp	NA	NA	NA	NA
Metap1d	NA	NA	NA	NA
Lpcat2	NA	NA	NA	NA
Tcp1	NA	NA	NA	NA
Pbx4	NA	NA	NA	NA
H2-Q4	NA	NA	NA	NA
Wfdc2	NA	NA	NA	NA
Zfand1	NA	NA	NA	NA
St6galnac4	NA	NA	NA	NA
Tpd52	NA	NA	NA	NA
Rnmt	NA	NA	NA	NA
Atp1a1	NA	NA	NA	NA
Tapbp	NA	NA	NA	NA
Ankrd12	NA	NA	NA	NA
Fabp2	NA	NA	NA	NA
Srp72	NA	NA	NA	NA
Noct	NA	NA	NA	NA
Asb8	NA	NA	NA	NA
D130020L05Rik	NA	NA	NA	NA
Slc2a12	NA	NA	NA	NA
Csf1r	NA	NA	NA	NA
Nfe2l2	NA	NA	NA	NA
Oxct1	NA	NA	NA	NA
Odc1	NA	NA	NA	NA
Pstpip2	NA	NA	NA	NA
Ldha	NA	NA	NA	NA
Plcxd2	NA	NA	NA	NA
Esrrb	NA	NA	NA	NA
Vhl	NA	NA	NA	NA
Sox7	NA	NA	NA	NA
Ttc21b	NA	NA	NA	NA
AB124611	NA	NA	NA	NA
Kmo	NA	NA	NA	NA
Josd2	NA	NA	NA	NA
Dlx4	NA	NA	NA	NA
Cotl1	NA	NA	NA	NA
Nras	NA	NA	NA	NA
Rusc2	NA	NA	NA	NA
Mup9	NA	NA	NA	NA
2900026A02Rik	NA	NA	NA	NA
Wdr83	NA	NA	NA	NA
Epb42	NA	NA	NA	NA
Srebf1	NA	NA	NA	NA
Dck	NA	NA	NA	NA
Sec16a	NA	NA	NA	NA
Gars	NA	NA	NA	NA
Akt3	NA	NA	NA	NA
Pitx3	NA	NA	NA	NA
Gsta4	NA	NA	NA	NA
Rb1cc1	NA	NA	NA	NA
Ptgr1	NA	NA	NA	NA
Cd22	NA	NA	NA	NA
Tstd1	NA	NA	NA	NA
Ap2m1	NA	NA	NA	NA
Lad1	NA	NA	NA	NA
Zmynd19	NA	NA	NA	NA
Dennd4b	NA	NA	NA	NA
Hacd3	NA	NA	NA	NA
Polr3gl	NA	NA	NA	NA
Insig1	NA	NA	NA	NA
Scfd1	NA	NA	NA	NA
Taf13	NA	NA	NA	NA
Knop1	NA	NA	NA	NA
Mark1	NA	NA	NA	NA
Vamp2	NA	NA	NA	NA
Bmp6	NA	NA	NA	NA
Psmc2	NA	NA	NA	NA
Gm8325	NA	NA	NA	NA
Slc16a12	NA	NA	NA	NA
Acot8	NA	NA	NA	NA
Ncbp2	NA	NA	NA	NA
Txnrd2	NA	NA	NA	NA
Cyp4f14	NA	NA	NA	NA
Zdhhc24	NA	NA	NA	NA
Smc5	NA	NA	NA	NA
Hnrnpc	NA	NA	NA	NA
Ift122	NA	NA	NA	NA
Myof	NA	NA	NA	NA
Glt1d1	NA	NA	NA	NA
Pou2f2	NA	NA	NA	NA
Lman2l	NA	NA	NA	NA
Slamf8	NA	NA	NA	NA
Borcs7	NA	NA	NA	NA
Dennd3	NA	NA	NA	NA
Lonrf3	NA	NA	NA	NA
Pnp	NA	NA	NA	NA
Selplg	NA	NA	NA	NA
Gm11789	NA	NA	NA	NA
Rapgef4os3	NA	NA	NA	NA
Slc16a10	NA	NA	NA	NA
Il18bp	NA	NA	NA	NA
Mon1a	NA	NA	NA	NA
Ywhaz	NA	NA	NA	NA
Slc16a9	NA	NA	NA	NA
Slc7a15	NA	NA	NA	NA
Bud23	NA	NA	NA	NA
Rnf19a	NA	NA	NA	NA
Rgs2	NA	NA	NA	NA
Synj2	NA	NA	NA	NA
Abcc6	NA	NA	NA	NA
Cycs	NA	NA	NA	NA
Pim2	NA	NA	NA	NA
BC024386	NA	NA	NA	NA
Med8	NA	NA	NA	NA
Igkv6-23	NA	NA	NA	NA
Mdh2	NA	NA	NA	NA
4931414P19Rik	NA	NA	NA	NA
Olfr703	NA	NA	NA	NA
Sri	NA	NA	NA	NA
Shpk	NA	NA	NA	NA
Cdca4	NA	NA	NA	NA
Acad12	NA	NA	NA	NA
Golga5	NA	NA	NA	NA
Ift57	NA	NA	NA	NA
Oser1	NA	NA	NA	NA
Pip5k1c	NA	NA	NA	NA
Etf1	NA	NA	NA	NA
Slc2a5	NA	NA	NA	NA
Epn1	NA	NA	NA	NA
Pias1	NA	NA	NA	NA
Wdr45b	NA	NA	NA	NA
Cdc123	NA	NA	NA	NA
Tmem214	NA	NA	NA	NA
Snn	NA	NA	NA	NA
Uba5	NA	NA	NA	NA
Gosr2	NA	NA	NA	NA
Hnrnpul2	NA	NA	NA	NA
Vtcn1	NA	NA	NA	NA
Dnase1l1	NA	NA	NA	NA
Cabcoco1	NA	NA	NA	NA
Gm19089	NA	NA	NA	NA
Stat6	NA	NA	NA	NA
Trim5	NA	NA	NA	NA
Mup-ps20	NA	NA	NA	NA
Bst1	NA	NA	NA	NA
Prdm1	NA	NA	NA	NA
Tirap	NA	NA	NA	NA
Wsb2	NA	NA	NA	NA
Necap1	NA	NA	NA	NA
Mal2	NA	NA	NA	NA
Ahcyl2	NA	NA	NA	NA
Capn2	NA	NA	NA	NA
Spty2d1	NA	NA	NA	NA
Socs4	NA	NA	NA	NA
Necab1	NA	NA	NA	NA
Cdadc1	NA	NA	NA	NA
Castor1	NA	NA	NA	NA
Wls	NA	NA	NA	NA
Angptl8	NA	NA	NA	NA
Tpgs1	NA	NA	NA	NA
Tmem200b	NA	NA	NA	NA
Mapt	NA	NA	NA	NA
Tcea3	NA	NA	NA	NA
Hnrnph3	NA	NA	NA	NA
Nek7	NA	NA	NA	NA
Ddx28	NA	NA	NA	NA
Mid1ip1	NA	NA	NA	NA
Aoah	NA	NA	NA	NA
Dclre1c	NA	NA	NA	NA
Tpst1	NA	NA	NA	NA
6030460B20Rik	NA	NA	NA	NA
Emc4	NA	NA	NA	NA
Erp44	NA	NA	NA	NA
Sec23a	NA	NA	NA	NA
Itpr2	NA	NA	NA	NA
Ugt1a7c	NA	NA	NA	NA
Msl3	NA	NA	NA	NA
9430037G07Rik	NA	NA	NA	NA
Coro1a	NA	NA	NA	NA
Slc22a5	NA	NA	NA	NA
Gm32468	NA	NA	NA	NA
Bhlhe41	NA	NA	NA	NA
Zyx	NA	NA	NA	NA
Psmb9	NA	NA	NA	NA
Sumf1	NA	NA	NA	NA
Rpl7l1	NA	NA	NA	NA
Tbkbp1	NA	NA	NA	NA
Vac14	NA	NA	NA	NA
Casp8	NA	NA	NA	NA
Sco2	NA	NA	NA	NA
Fam126b	NA	NA	NA	NA
Adcy7	NA	NA	NA	NA
Slc30a7	NA	NA	NA	NA
Msantd1	NA	NA	NA	NA
Tbxas1	NA	NA	NA	NA
Rtn4ip1	NA	NA	NA	NA
Ccdc124	NA	NA	NA	NA
Lyz2	NA	NA	NA	NA
Rhoh	NA	NA	NA	NA
Pfkp	NA	NA	NA	NA
Ddx49	NA	NA	NA	NA
Cda	NA	NA	NA	NA
Pced1b	NA	NA	NA	NA
Klf2	NA	NA	NA	NA
Slc35a1	NA	NA	NA	NA
B3gat3	NA	NA	NA	NA
A730011C13Rik	NA	NA	NA	NA
Exoc5	NA	NA	NA	NA
Rbmx	NA	NA	NA	NA
C1ql4	NA	NA	NA	NA
Foxred1	NA	NA	NA	NA
Igkv17-121	NA	NA	NA	NA
Rab3ip	NA	NA	NA	NA
Jtb	NA	NA	NA	NA
Ces2b	NA	NA	NA	NA
Gga2	NA	NA	NA	NA
Utp4	NA	NA	NA	NA
Gm45187	NA	NA	NA	NA
Igkv5-48	NA	NA	NA	NA
B3galt1	NA	NA	NA	NA
Osbpl7	NA	NA	NA	NA
Frrs1	NA	NA	NA	NA
Pdgfb	NA	NA	NA	NA
Ly9	NA	NA	NA	NA
Rbbp5	NA	NA	NA	NA
Cep250	NA	NA	NA	NA
Socs2	NA	NA	NA	NA
Pitpnb	NA	NA	NA	NA
Tnfaip8	NA	NA	NA	NA
Gdf3	NA	NA	NA	NA
Rbm22	NA	NA	NA	NA
Phka2	NA	NA	NA	NA
Ufsp2	NA	NA	NA	NA
Gm2223	NA	NA	NA	NA
Olfml1	NA	NA	NA	NA
4930402H24Rik	NA	NA	NA	NA
Unc45a	NA	NA	NA	NA
Arf1	NA	NA	NA	NA
Psmd7	NA	NA	NA	NA
Dnajc3	NA	NA	NA	NA
Hmgn2	NA	NA	NA	NA
Ints3	NA	NA	NA	NA
Gm13375	NA	NA	NA	NA
Cldnd1	NA	NA	NA	NA
Gm10461	NA	NA	NA	NA
Zfp773	NA	NA	NA	NA
Cst3	NA	NA	NA	NA
Clpx	NA	NA	NA	NA
Itga9	NA	NA	NA	NA
Gm15981	NA	NA	NA	NA
Gm4841	NA	NA	NA	NA
Dnajc28	NA	NA	NA	NA
Chp1	NA	NA	NA	NA
Acot13	NA	NA	NA	NA
Tbc1d9	NA	NA	NA	NA
Dcn	NA	NA	NA	NA
Cd63	NA	NA	NA	NA
Itih5	NA	NA	NA	NA
Alg8	NA	NA	NA	NA
Mrpl37	NA	NA	NA	NA
Oasl1	NA	NA	NA	NA
Bet1l	NA	NA	NA	NA
Clpb	NA	NA	NA	NA
Trem2	NA	NA	NA	NA
Cd160	NA	NA	NA	NA
Sgk3	NA	NA	NA	NA
Cd37	NA	NA	NA	NA
