Trendy genes	Trendy genes:Module genes	Module genes	Trendy genes:Module genes:Hub genes	Module genes:Hub genes
Zfp706	NA	NA	NA	NA
Mup11	NA	NA	NA	NA
Sqor	NA	NA	NA	NA
Xiap	NA	NA	NA	NA
Asb13	NA	NA	NA	NA
Scp2-ps2	NA	NA	NA	NA
Gm40787	NA	NA	NA	NA
Zfp820	NA	NA	NA	NA
Hprt	NA	NA	NA	NA
Tmem167-ps2	NA	NA	NA	NA
Eci3	NA	NA	NA	NA
Paxx	NA	NA	NA	NA
Irf6	NA	NA	NA	NA
Rxrg	NA	NA	NA	NA
Arl6ip1	NA	NA	NA	NA
Tsg101	NA	NA	NA	NA
Cyp4v3	NA	NA	NA	NA
Slc25a33	NA	NA	NA	NA
Acad9	NA	NA	NA	NA
Tenm3	NA	NA	NA	NA
Acox3	NA	NA	NA	NA
Keg1	NA	NA	NA	NA
Asl	NA	NA	NA	NA
Igfbp5	NA	NA	NA	NA
Serpinb1a	NA	NA	NA	NA
Tfcp2l1	NA	NA	NA	NA
Erg28	NA	NA	NA	NA
Ccnf	NA	NA	NA	NA
Ugt2b5	NA	NA	NA	NA
Ugt2b35	NA	NA	NA	NA
Klhl26	NA	NA	NA	NA
Tert	NA	NA	NA	NA
Esrrg	NA	NA	NA	NA
Txndc15	NA	NA	NA	NA
Fam126a	NA	NA	NA	NA
Nebl	NA	NA	NA	NA
Plaa	NA	NA	NA	NA
Hsd3b5	NA	NA	NA	NA
Slc39a4	NA	NA	NA	NA
Parp10	NA	NA	NA	NA
Zfp445	NA	NA	NA	NA
Tm9sf3	NA	NA	NA	NA
Pdhx	NA	NA	NA	NA
Nrp2	NA	NA	NA	NA
Fcgr2b	NA	NA	NA	NA
4930529K09Rik	NA	NA	NA	NA
Bet1	NA	NA	NA	NA
Selenof	NA	NA	NA	NA
Dgka	NA	NA	NA	NA
Cspg5	NA	NA	NA	NA
Plscr2	NA	NA	NA	NA
Vmp1	NA	NA	NA	NA
1810046K07Rik	NA	NA	NA	NA
Tmc7	NA	NA	NA	NA
Plekhn1	NA	NA	NA	NA
Idh2	NA	NA	NA	NA
Cdh1	NA	NA	NA	NA
Actr1b	NA	NA	NA	NA
D130043K22Rik	NA	NA	NA	NA
Ifit3	NA	NA	NA	NA
Rbbp4	NA	NA	NA	NA
Sult2a7	NA	NA	NA	NA
Gstp-ps	NA	NA	NA	NA
Ap3s1	NA	NA	NA	NA
Cyp2g1	NA	NA	NA	NA
Gsto1	NA	NA	NA	NA
Grhpr	NA	NA	NA	NA
Asrgl1	NA	NA	NA	NA
Srpr	NA	NA	NA	NA
Cyp4a10	NA	NA	NA	NA
Nectin2	NA	NA	NA	NA
Gspt1	NA	NA	NA	NA
Gm42375	NA	NA	NA	NA
Lap3	NA	NA	NA	NA
Ccnd1	NA	NA	NA	NA
Serp1	NA	NA	NA	NA
Tpte	NA	NA	NA	NA
Lncbate1	NA	NA	NA	NA
Bgn	NA	NA	NA	NA
Atg16l2	NA	NA	NA	NA
Prpf6	NA	NA	NA	NA
