Trendy genes	Trendy genes:Module genes	Module genes	Trendy genes:Module genes:Hub genes
Scp2-ps2	NA	NA	NA
Gm40787	NA	NA	NA
Zfp820	NA	NA	NA
Hprt	NA	NA	NA
Tmem167-ps2	NA	NA	NA
Eci3	NA	NA	NA
Paxx	NA	NA	NA
Irf6	NA	NA	NA
Rxrg	NA	NA	NA
Arl6ip1	NA	NA	NA
Tsg101	NA	NA	NA
Cyp4v3	NA	NA	NA
Slc25a33	NA	NA	NA
Acad9	NA	NA	NA
Tenm3	NA	NA	NA
Acox3	NA	NA	NA
Keg1	NA	NA	NA
Asl	NA	NA	NA
Igfbp5	NA	NA	NA
Serpinb1a	NA	NA	NA
Tfcp2l1	NA	NA	NA
Erg28	NA	NA	NA
Rassf3	NA	NA	NA
Ccnf	NA	NA	NA
Ugt2b5	NA	NA	NA
Ugt2b35	NA	NA	NA
Klhl26	NA	NA	NA
Tert	NA	NA	NA
Esrrg	NA	NA	NA
Txndc15	NA	NA	NA
Fam126a	NA	NA	NA
Nebl	NA	NA	NA
Plaa	NA	NA	NA
Hsd3b5	NA	NA	NA
Slc39a4	NA	NA	NA
Parp10	NA	NA	NA
Zfp445	NA	NA	NA
Tm9sf3	NA	NA	NA
Pdhx	NA	NA	NA
Nrp2	NA	NA	NA
Fcgr2b	NA	NA	NA
4930529K09Rik	NA	NA	NA
Bet1	NA	NA	NA
Selenof	NA	NA	NA
Dgka	NA	NA	NA
Cspg5	NA	NA	NA
Cyp2c55	NA	NA	NA
Plscr2	NA	NA	NA
Vmp1	NA	NA	NA
1810046K07Rik	NA	NA	NA
Tmc7	NA	NA	NA
Plekhn1	NA	NA	NA
Cox19	NA	NA	NA
Idh2	NA	NA	NA
Cdh1	NA	NA	NA
Actr1b	NA	NA	NA
D130043K22Rik	NA	NA	NA
Ifit3	NA	NA	NA
Kcp	NA	NA	NA
Rbbp4	NA	NA	NA
Sult2a7	NA	NA	NA
Gstp-ps	NA	NA	NA
Unc119	NA	NA	NA
Ap3s1	NA	NA	NA
Cyp2g1	NA	NA	NA
Gsto1	NA	NA	NA
Grhpr	NA	NA	NA
Asrgl1	NA	NA	NA
Srpr	NA	NA	NA
Cyp4a10	NA	NA	NA
Osbpl3	NA	NA	NA
Fancl	NA	NA	NA
Nectin2	NA	NA	NA
Gspt1	NA	NA	NA
Gm42375	NA	NA	NA
Lap3	NA	NA	NA
Ccnd1	NA	NA	NA
Olfm3	NA	NA	NA
Serp1	NA	NA	NA
