Trendy genes	Trendy genes:Module genes	Module genes	Trendy genes:Module genes:Hub genes
Ptprj	NA	NA	NA
Prkaa2	NA	NA	NA
Thsd7a	NA	NA	NA
Slamf7	NA	NA	NA
Pcdh11x	NA	NA	NA
Phb2	NA	NA	NA
Mageb18	NA	NA	NA
Xaf1	NA	NA	NA
Cd79b	NA	NA	NA
5330434G04Rik	NA	NA	NA
Brs3	NA	NA	NA
Olfr964-ps1	NA	NA	NA
Pnpla8	NA	NA	NA
H2-Eb1	NA	NA	NA
Negr1	NA	NA	NA
Chchd3	NA	NA	NA
Cpox	NA	NA	NA
Dnajc28	NA	NA	NA
Epb41l4a	NA	NA	NA
Sucla2	NA	NA	NA
Mrpl39	NA	NA	NA
Maoa	NA	NA	NA
Smarcd3	NA	NA	NA
Coq5	NA	NA	NA
Fastk	NA	NA	NA
Calr	NA	NA	NA
Gm7896	NA	NA	NA
Ssxb10	NA	NA	NA
Crispld2	NA	NA	NA
Sprr1a	NA	NA	NA
Gm44668	NA	NA	NA
Sele	NA	NA	NA
Il2rb	NA	NA	NA
Cx3cr1	NA	NA	NA
Milr1	NA	NA	NA
Cpt2	NA	NA	NA
Spsb1	NA	NA	NA
Gm20824	NA	NA	NA
Pde3b	NA	NA	NA
Zfp706	NA	NA	NA
Slc7a8	NA	NA	NA
Mme	NA	NA	NA
Rtn4ip1	NA	NA	NA
Gys1	NA	NA	NA
Eif2b4	NA	NA	NA
Gm5381	NA	NA	NA
Ptges2	NA	NA	NA
Plin3	NA	NA	NA
Rcan2	NA	NA	NA
Rom1	NA	NA	NA
Fars2	NA	NA	NA
Actr3b	NA	NA	NA
Ppef1	NA	NA	NA
Pdk2	NA	NA	NA
Ms4a2	NA	NA	NA
Sh3bp5	NA	NA	NA
Vwc2	NA	NA	NA
Gm12184	NA	NA	NA
Got1	NA	NA	NA
Oasl1	NA	NA	NA
Gm45163	NA	NA	NA
Gm14538	NA	NA	NA
Gfm1	NA	NA	NA
Bnc2	NA	NA	NA
Bfar	NA	NA	NA
Ublcp1	NA	NA	NA
Igsf1	NA	NA	NA
Vmn1r19	NA	NA	NA
Dgat2	NA	NA	NA
Ube2h	NA	NA	NA
Slc40a1	NA	NA	NA
Myrf	NA	NA	NA
Pir	NA	NA	NA
Olfr1459	NA	NA	NA
Gm42818	NA	NA	NA
Dnajb11	NA	NA	NA
Syp	NA	NA	NA
Dyrk2	NA	NA	NA
Cacfd1	NA	NA	NA
Cerkl	NA	NA	NA
4930412M03Rik	NA	NA	NA
Stard7	NA	NA	NA
Dele1	NA	NA	NA
Upk3b	NA	NA	NA
Napsa	NA	NA	NA
Psmd11	NA	NA	NA
Arfrp1	NA	NA	NA
Aifm2	NA	NA	NA
Farsb	NA	NA	NA
Plod1	NA	NA	NA
Olfr148	NA	NA	NA
3110067C02Rik	NA	NA	NA
Dlgap1	NA	NA	NA
Olfr535	NA	NA	NA
Rgs14	NA	NA	NA
Zfp180	NA	NA	NA
Ubl7	NA	NA	NA
Tenm3	NA	NA	NA
Nkiras2	NA	NA	NA
Pdhb	NA	NA	NA
C330018D20Rik	NA	NA	NA
Usp26	NA	NA	NA
Ggcx	NA	NA	NA
Fndc5	NA	NA	NA
Gm14867	NA	NA	NA
Ikzf1	NA	NA	NA
Uqcrc1	NA	NA	NA
Rai14	NA	NA	NA
