Trendy genes	Trendy genes:Module genes	Module genes	Trendy genes:Module genes:Hub genes
Atpaf2	NA	NA	NA
Ryr1	NA	NA	NA
Adap1	NA	NA	NA
Slc25a42	NA	NA	NA
Gm20430	NA	NA	NA
Cops2	NA	NA	NA
Gm10439	NA	NA	NA
Cog4	NA	NA	NA
Ptcd3	NA	NA	NA
Rspo3	NA	NA	NA
Vmn1r86	NA	NA	NA
Gm44639	NA	NA	NA
Gm37498	NA	NA	NA
Gm8882	NA	NA	NA
Cyp4b1	NA	NA	NA
Haus1	NA	NA	NA
Mx1	NA	NA	NA
1700063K16Rik	NA	NA	NA
Cd3eap	NA	NA	NA
Immt	NA	NA	NA
Frk	NA	NA	NA
B3galt2	NA	NA	NA
Gm18856	NA	NA	NA
Mccc1	NA	NA	NA
Olfr592	NA	NA	NA
Aco1	NA	NA	NA
4933401J01Rik	NA	NA	NA
Speer4e	NA	NA	NA
Map7d1	NA	NA	NA
Dnaja2	NA	NA	NA
Gm49152	NA	NA	NA
Glg1	NA	NA	NA
Fgfr2	NA	NA	NA
Emc3	NA	NA	NA
Mcur1	NA	NA	NA
Prr32	NA	NA	NA
Necap1	NA	NA	NA
Plcxd2	NA	NA	NA
Acss1	NA	NA	NA
Vmn2r44	NA	NA	NA
Irf7	NA	NA	NA
Prkaca	NA	NA	NA
4932438A13Rik	NA	NA	NA
Vps13c	NA	NA	NA
Ercc6l	NA	NA	NA
Cd3e	NA	NA	NA
Gm16423	NA	NA	NA
Gm41311	NA	NA	NA
H2-T22	NA	NA	NA
Slc2a3	NA	NA	NA
Clcn5	NA	NA	NA
Krt34	NA	NA	NA
Mmp21	NA	NA	NA
Rasef	NA	NA	NA
Syngr2	NA	NA	NA
Gm37354	NA	NA	NA
Cchcr1	NA	NA	NA
Gm10787	NA	NA	NA
Fv1	NA	NA	NA
Hvcn1	NA	NA	NA
Gm47743	NA	NA	NA
Chrna7	NA	NA	NA
Hgs	NA	NA	NA
Ctsl	NA	NA	NA
Gid8	NA	NA	NA
Zfp874b	NA	NA	NA
Rnf103	NA	NA	NA
Olfr362	NA	NA	NA
Tjp3	NA	NA	NA
Rps6ka6	NA	NA	NA
Dda1	NA	NA	NA
9530026F06Rik	NA	NA	NA
Ube2d1	NA	NA	NA
Ugt8a	NA	NA	NA
Nfam1	NA	NA	NA
Hsp90b1	NA	NA	NA
Emc2	NA	NA	NA
Gm20642	NA	NA	NA
Aig1	NA	NA	NA
Cct3	NA	NA	NA
Gm48962	NA	NA	NA
Mrpl45	NA	NA	NA
Rhox4d	NA	NA	NA
Ablim3	NA	NA	NA
Olfr319	NA	NA	NA
Gm44027	NA	NA	NA
Tex11	NA	NA	NA
Olfr1469	NA	NA	NA
Xpnpep1	NA	NA	NA
Gm28579	NA	NA	NA
Mtif2	NA	NA	NA
Dhrs1	NA	NA	NA
Ogfrl1	NA	NA	NA
Carnmt1	NA	NA	NA
Cd164	NA	NA	NA
Gm45941	NA	NA	NA
Gm19337	NA	NA	NA
Rdh14	NA	NA	NA
Gm18935	NA	NA	NA
Gm47817	NA	NA	NA
Sgip1	NA	NA	NA
Lilrb4a	NA	NA	NA
Gm19165	NA	NA	NA
Fto	NA	NA	NA
Angptl4	NA	NA	NA
Gm11149	NA	NA	NA
Ces2a	NA	NA	NA
Gm37041	NA	NA	NA
Gfra4	NA	NA	NA
Pcx	NA	NA	NA
Rassf5	NA	NA	NA
Wnt10a	NA	NA	NA
D030068K23Rik	NA	NA	NA
Creld2	NA	NA	NA
Kcnab2	NA	NA	NA
Ngfr	NA	NA	NA
Tex26	NA	NA	NA
Trim37	NA	NA	NA
Gm47359	NA	NA	NA
Wdr41	NA	NA	NA
Gm1527	NA	NA	NA
Gm44760	NA	NA	NA
Bag5	NA	NA	NA
Plekhb2	NA	NA	NA
Mx2	NA	NA	NA
Nfkbid	NA	NA	NA
Sult2a6	NA	NA	NA
Rhbdd3	NA	NA	NA
Tnfrsf26	NA	NA	NA
Mmab	NA	NA	NA
Eda2r	NA	NA	NA
Csdc2	NA	NA	NA
Armc6	NA	NA	NA
Gabra3	NA	NA	NA
Runx1	NA	NA	NA
Acadvl	NA	NA	NA
Acaa1a	NA	NA	NA
Olfr1480	NA	NA	NA
Mavs	NA	NA	NA
Gm13914	NA	NA	NA
Gm33450	NA	NA	NA
Vps4a	NA	NA	NA
Pex13	NA	NA	NA
Phospho2	NA	NA	NA
Olfr19	NA	NA	NA
Gm11597	NA	NA	NA
Gm14988	NA	NA	NA
Btbd1	NA	NA	NA
Gm12763	NA	NA	NA
Plcd3	NA	NA	NA
Pcdhb21	NA	NA	NA
Lck	NA	NA	NA
Sash3	NA	NA	NA
Gm5317	NA	NA	NA
Olfr452	NA	NA	NA
Olfr898	NA	NA	NA
Sox10	NA	NA	NA
Gpr183	NA	NA	NA
Olfr1249	NA	NA	NA
Ak1	NA	NA	NA
Zscan20	NA	NA	NA
Fbln5	NA	NA	NA
Gm29293	NA	NA	NA
Zfr	NA	NA	NA
Diaph1	NA	NA	NA
Ywhae	NA	NA	NA
Gm48063	NA	NA	NA
Olfr352	NA	NA	NA
Copg1	NA	NA	NA
Gm29825	NA	NA	NA
Pgk1	NA	NA	NA
Tlcd1	NA	NA	NA
Gm14582	NA	NA	NA
Ldlrad4	NA	NA	NA
Klf15	NA	NA	NA
Rnpepl1	NA	NA	NA
Slc13a4	NA	NA	NA
Gm36480	NA	NA	NA
Casq2	NA	NA	NA
Osgepl1	NA	NA	NA
Gm43820	NA	NA	NA
Spop	NA	NA	NA
Pde6d	NA	NA	NA
Gm12793	NA	NA	NA
Tex13c3	NA	NA	NA
Rhoj	NA	NA	NA
Wdr86	NA	NA	NA
Slc25a3	NA	NA	NA
Gm45895	NA	NA	NA
4933413J09Rik	NA	NA	NA
Ube2g1	NA	NA	NA
Jak1	NA	NA	NA
Gm45697	NA	NA	NA
Pisd-ps1	NA	NA	NA
Rab9b	NA	NA	NA
Ifngr2	NA	NA	NA
Pcdhb12	NA	NA	NA
Pygm	NA	NA	NA
Unc45b	NA	NA	NA
Mgme1	NA	NA	NA
Lhcgr	NA	NA	NA
Col6a2	NA	NA	NA
E030030I06Rik	NA	NA	NA
Gm47908	NA	NA	NA
Pex6	NA	NA	NA
Lipe	NA	NA	NA
Satb1	NA	NA	NA
Arf1	NA	NA	NA
Idh1	NA	NA	NA
Sema3a	NA	NA	NA
Olfr1192-ps1	NA	NA	NA
Tspan32	NA	NA	NA
Gm40457	NA	NA	NA
Vps52	NA	NA	NA
Lilr4b	NA	NA	NA
Fzd9	NA	NA	NA
Fam220a	NA	NA	NA
Gm15839	NA	NA	NA
Gm42701	NA	NA	NA
Capn2	NA	NA	NA
Ube2j2	NA	NA	NA
Gm12131	NA	NA	NA
Gm37465	NA	NA	NA
Olfr1151	NA	NA	NA
Gm12295	NA	NA	NA
Polr2b	NA	NA	NA
Vac14	NA	NA	NA
Ehd1	NA	NA	NA
Fbxo43	NA	NA	NA
Olfr187	NA	NA	NA
Trp53inp2	NA	NA	NA
Asic5	NA	NA	NA
Cops5	NA	NA	NA
Eef1a2	NA	NA	NA
Trps1	NA	NA	NA
Ncbp1	NA	NA	NA
Strap	NA	NA	NA
Vps33a	NA	NA	NA
Gm37663	NA	NA	NA
B630019A10Rik	NA	NA	NA
Vmn1r-ps53	NA	NA	NA
Olfr884	NA	NA	NA
Doc2g	NA	NA	NA
Mesd	NA	NA	NA
Olfr561	NA	NA	NA
Gm21726	NA	NA	NA
Csf2rb	NA	NA	NA
Gria3	NA	NA	NA
Olfr705	NA	NA	NA
Rnf187	NA	NA	NA
Wdr93	NA	NA	NA
Gm48124	NA	NA	NA
Cacnb4	NA	NA	NA
Nox1	NA	NA	NA
Oog1	NA	NA	NA
Agpat3	NA	NA	NA
Cnksr3	NA	NA	NA
Ube2a	NA	NA	NA
Ddx60	NA	NA	NA
Swsap1	NA	NA	NA
Fbln2	NA	NA	NA
H2-Q6	NA	NA	NA
Mn1	NA	NA	NA
Zfp804b	NA	NA	NA
Dnajb2	NA	NA	NA
4930548K13Rik	NA	NA	NA
Itgae	NA	NA	NA
Zfp691	NA	NA	NA
Eef1g	NA	NA	NA
Immp1l	NA	NA	NA
Alkbh7	NA	NA	NA
Sys1	NA	NA	NA
4930594C11Rik	NA	NA	NA
Gm47078	NA	NA	NA
Flad1	NA	NA	NA
Vezf1	NA	NA	NA
Gm42843	NA	NA	NA
Olfr1099	NA	NA	NA
Mst1	NA	NA	NA
Tpk1	NA	NA	NA
Ube2g2	NA	NA	NA
Fam149a	NA	NA	NA
Tshz3	NA	NA	NA
Myoz2	NA	NA	NA
Pdlim4	NA	NA	NA
Kcp	NA	NA	NA
Prob1	NA	NA	NA
Gm14520	NA	NA	NA
Itm2a	NA	NA	NA
Gpt	NA	NA	NA
Psmc4	NA	NA	NA
Il7	NA	NA	NA
Trdc	NA	NA	NA
Thoc1	NA	NA	NA
Vmn2r121	NA	NA	NA
Slc16a7	NA	NA	NA
Mib1	NA	NA	NA
Foxred2	NA	NA	NA
Gatb	NA	NA	NA
Tcaim	NA	NA	NA
Cygb	NA	NA	NA
Npl	NA	NA	NA
Gm44636	NA	NA	NA
Zswim2	NA	NA	NA
Gm13135	NA	NA	NA
Mrgprb13	NA	NA	NA
Luzp2	NA	NA	NA
Wbp1l	NA	NA	NA
Opa3	NA	NA	NA
Muc4	NA	NA	NA
Ptcd1	NA	NA	NA
Fam169a	NA	NA	NA
Dnah7a	NA	NA	NA
Fkbp2	NA	NA	NA
Necab1	NA	NA	NA
Fam47c	NA	NA	NA
Cul4a	NA	NA	NA
Ndufs7	NA	NA	NA
Mup6	NA	NA	NA
Steap3	NA	NA	NA
Itgbl1	NA	NA	NA
Gm20429	NA	NA	NA
Nt5c3	NA	NA	NA
Gm29234	NA	NA	NA
Lap3	NA	NA	NA
Kctd5	NA	NA	NA
Il19	NA	NA	NA
Gmpr	NA	NA	NA
Limd1	NA	NA	NA
Sdf2l1	NA	NA	NA
H2-Q7	NA	NA	NA
Clic4	NA	NA	NA
Zfp839	NA	NA	NA
Camk1	NA	NA	NA
Hdx	NA	NA	NA
Mrps27	NA	NA	NA
Gm43430	NA	NA	NA
Cacna2d1	NA	NA	NA
Slc25a33	NA	NA	NA
Tmem135	NA	NA	NA
Ubd	NA	NA	NA
Atp2b2	NA	NA	NA
Igf2bp2	NA	NA	NA
Cct4	NA	NA	NA
Gm26861	NA	NA	NA
Faf1	NA	NA	NA
Rasgrf1	NA	NA	NA
Klhl29	NA	NA	NA
Gins4	NA	NA	NA
Gm38030	NA	NA	NA
Gm9119	NA	NA	NA
Vmn2r29	NA	NA	NA
Gm45262	NA	NA	NA
Ighv1-7	NA	NA	NA
Dbpht2	NA	NA	NA
Ndrg2	NA	NA	NA
Clec11a	NA	NA	NA
Hras	NA	NA	NA
Snta1	NA	NA	NA
Mylk	NA	NA	NA
8030423F21Rik	NA	NA	NA
2010310C07Rik	NA	NA	NA
Amfr	NA	NA	NA
Glyr1	NA	NA	NA
A230001M10Rik	NA	NA	NA
Ogdh	NA	NA	NA
AU015836	NA	NA	NA
Cks1b	NA	NA	NA
Myoc	NA	NA	NA
Stip1	NA	NA	NA
Cradd	NA	NA	NA
Dhrs3	NA	NA	NA
Timm29	NA	NA	NA
Phf6	NA	NA	NA
Gm19039	NA	NA	NA
Ecd	NA	NA	NA
Nudt9	NA	NA	NA
Epdr1	NA	NA	NA
Myh2	NA	NA	NA
B4galt3	NA	NA	NA
Rad17	NA	NA	NA
Gm37250	NA	NA	NA
Hmgcl	NA	NA	NA
Gm11672	NA	NA	NA
Gm18189	NA	NA	NA
Gm11264	NA	NA	NA
Gm10228	NA	NA	NA
Fbxl6	NA	NA	NA
Shprh	NA	NA	NA
Ubb	NA	NA	NA
Derl1	NA	NA	NA
1600010M07Rik	NA	NA	NA
Txn2	NA	NA	NA
Fbln1	NA	NA	NA
Cyp2j12	NA	NA	NA
Vmn2r50	NA	NA	NA
4930544G11Rik	NA	NA	NA
Rps6ka2	NA	NA	NA
Gjb3	NA	NA	NA
Vmn2r15	NA	NA	NA
Gm47759	NA	NA	NA
Fah	NA	NA	NA
Phf11b	NA	NA	NA
Slc46a3	NA	NA	NA
Olfr1467	NA	NA	NA
Irf8	NA	NA	NA
Mterf2	NA	NA	NA
Nsun7	NA	NA	NA
Ncbp2	NA	NA	NA
Ldhb	NA	NA	NA
B930086L07Rik	NA	NA	NA
Pecam1	NA	NA	NA
Gm47016	NA	NA	NA
Gm46440	NA	NA	NA
Olfr178	NA	NA	NA
Sgo2b	NA	NA	NA
Nebl	NA	NA	NA
Ms4a3	NA	NA	NA
Mipep	NA	NA	NA
Gpr119	NA	NA	NA
Hr	NA	NA	NA
Cars2	NA	NA	NA
Gm21721	NA	NA	NA
Gpc1	NA	NA	NA
Gm18878	NA	NA	NA
Bag6	NA	NA	NA
Mcat	NA	NA	NA
Chd8	NA	NA	NA
Gm48486	NA	NA	NA
Smarca1	NA	NA	NA
Gm42446	NA	NA	NA
Iqca	NA	NA	NA
Olfr1323	NA	NA	NA
Gorasp2	NA	NA	NA
Cd36	NA	NA	NA
Gm15482	NA	NA	NA
Bckdhb	NA	NA	NA
Spsb4	NA	NA	NA
Irs4	NA	NA	NA
Cpsf1	NA	NA	NA
Gm49216	NA	NA	NA
Zswim4	NA	NA	NA
Tuba4a	NA	NA	NA
Rab11fip4	NA	NA	NA
Gm15795	NA	NA	NA
Pla2g12a	NA	NA	NA
Gm47858	NA	NA	NA
Mtfr1	NA	NA	NA
Phactr1	NA	NA	NA
Olfr1324	NA	NA	NA
Cyth4	NA	NA	NA
Tdrkh	NA	NA	NA
Gm15918	NA	NA	NA
4930435M08Rik	NA	NA	NA
Itga2	NA	NA	NA
Vmn1r191	NA	NA	NA
Ears2	NA	NA	NA
Hikeshi	NA	NA	NA
Rab11a	NA	NA	NA
Meg3	NA	NA	NA
Xirp2	NA	NA	NA
Vmn1r32	NA	NA	NA
Mpeg1	NA	NA	NA
4930515L19Rik	NA	NA	NA
Tmem159	NA	NA	NA
Zfp809	NA	NA	NA
Oat	NA	NA	NA
Ifi208	NA	NA	NA
Siglech	NA	NA	NA
Gm37133	NA	NA	NA
Gdpd1	NA	NA	NA
Gm28703	NA	NA	NA
Vmn2r117	NA	NA	NA
Gm20110	NA	NA	NA
Ndufaf6	NA	NA	NA
Slco1a1	NA	NA	NA
Gm13870	NA	NA	NA
Actn2	NA	NA	NA
Adgrl4	NA	NA	NA
Fyn	NA	NA	NA
Ddx27	NA	NA	NA
Mrpl51	NA	NA	NA
Gm44045	NA	NA	NA
Zdhhc23	NA	NA	NA
Syt1	NA	NA	NA
Adcy8	NA	NA	NA
Ginm1	NA	NA	NA
Gm14443	NA	NA	NA
Olfr1063-ps1	NA	NA	NA
Popdc3	NA	NA	NA
Ctbp1	NA	NA	NA
Smyd2	NA	NA	NA
Mall	NA	NA	NA
Nipa1	NA	NA	NA
Gm35028	NA	NA	NA
Adgre4	NA	NA	NA
Dbndd1	NA	NA	NA
Smpd1	NA	NA	NA
Myo16	NA	NA	NA
Tmem186	NA	NA	NA
Stat4	NA	NA	NA
Olfr368	NA	NA	NA
Serpinb5	NA	NA	NA
Kcnip1	NA	NA	NA
Psmd13	NA	NA	NA
1700112J16Rik	NA	NA	NA
Rab11b	NA	NA	NA
Rab10	NA	NA	NA
Trpc4ap	NA	NA	NA
Hmgn5	NA	NA	NA
Gm20618	NA	NA	NA
Olfr1370	NA	NA	NA
Mrgpre	NA	NA	NA
Olfr566	NA	NA	NA
Rab19	NA	NA	NA
Ngly1	NA	NA	NA
Rab7	NA	NA	NA
Palld	NA	NA	NA
Gm13415	NA	NA	NA
Gm38199	NA	NA	NA
Isoc1	NA	NA	NA
Cd274	NA	NA	NA
Gm17235	NA	NA	NA
Aurkaip1	NA	NA	NA
Dmrtc1b	NA	NA	NA
5930435M05Rik	NA	NA	NA
Yipf3	NA	NA	NA
Gsap	NA	NA	NA
Twf2	NA	NA	NA
Tvp23b	NA	NA	NA
Gm8968	NA	NA	NA
Dcaf12l2	NA	NA	NA
Tmem170	NA	NA	NA
Ankrd46	NA	NA	NA
Dctn1	NA	NA	NA
Mcrip2	NA	NA	NA
Gpaa1	NA	NA	NA
Lrrc10	NA	NA	NA
Itgb5	NA	NA	NA
Hmces	NA	NA	NA
C230012O17Rik	NA	NA	NA
Gm43930	NA	NA	NA
Serpinh1	NA	NA	NA
Pcdhb4	NA	NA	NA
Slc25a38	NA	NA	NA
Gm45854	NA	NA	NA
Furin	NA	NA	NA
Abhd12	NA	NA	NA
Slamf1	NA	NA	NA
Zscan30	NA	NA	NA
Gm20768	NA	NA	NA
Gm5793	NA	NA	NA
Zfp459	NA	NA	NA
Mcoln2	NA	NA	NA
Vmn2r4	NA	NA	NA
Bcs1l	NA	NA	NA
Duox2	NA	NA	NA
Neurl4	NA	NA	NA
Sccpdh	NA	NA	NA
Mcfd2	NA	NA	NA
Rbm43	NA	NA	NA
Star	NA	NA	NA
Xbp1	NA	NA	NA
Mdm4-ps	NA	NA	NA
Rragb	NA	NA	NA
Pak1	NA	NA	NA
Gpr158	NA	NA	NA
Cd2	NA	NA	NA
4933411E02Rik	NA	NA	NA
Wfs1	NA	NA	NA
Nup88	NA	NA	NA
Tmem268	NA	NA	NA
Rbfa	NA	NA	NA
Gm14979	NA	NA	NA
Card9	NA	NA	NA
Tmem151a	NA	NA	NA
Rtcb	NA	NA	NA
Hlcs	NA	NA	NA
Jup	NA	NA	NA
Tert	NA	NA	NA
Rxra	NA	NA	NA
Gm39464	NA	NA	NA
Cd209d	NA	NA	NA
Hspb1	NA	NA	NA
Mrfap1	NA	NA	NA
Ptpn11	NA	NA	NA
Platr10	NA	NA	NA
Gna14	NA	NA	NA
Abcg3	NA	NA	NA
Galnt7	NA	NA	NA
Sgsm3	NA	NA	NA
Pttg1ip	NA	NA	NA
Lce1a1	NA	NA	NA
Fst	NA	NA	NA
Whrn	NA	NA	NA
Serinc2	NA	NA	NA
Gm16238	NA	NA	NA
Ddost	NA	NA	NA
Xylt1	NA	NA	NA
6430710C18Rik	NA	NA	NA
St3gal2	NA	NA	NA
Fbxo30	NA	NA	NA
Apod	NA	NA	NA
C130026I21Rik	NA	NA	NA
Gm12080	NA	NA	NA
Gm13403	NA	NA	NA
Wdfy4	NA	NA	NA
Rgmb	NA	NA	NA
Gm6257	NA	NA	NA
Usp21	NA	NA	NA
Selplg	NA	NA	NA
Sord	NA	NA	NA
Atg9a	NA	NA	NA
Gm37090	NA	NA	NA
Gnl3l	NA	NA	NA
Slc2a8	NA	NA	NA
4930467K11Rik	NA	NA	NA
Cntnap5a	NA	NA	NA
Gm45201	NA	NA	NA
Itga3	NA	NA	NA
Gm37004	NA	NA	NA
Olfr597	NA	NA	NA
Sh3glb1	NA	NA	NA
Mfsd10	NA	NA	NA
Vti1b	NA	NA	NA
Srgap3	NA	NA	NA
Cyp2c68	NA	NA	NA
Ptchd1	NA	NA	NA
Wnk1	NA	NA	NA
Ccdc6	NA	NA	NA
Phb	NA	NA	NA
Iba57	NA	NA	NA
Malsu1	NA	NA	NA
Coq10a	NA	NA	NA
Gm42769	NA	NA	NA
D130004A15Rik	NA	NA	NA
Nomo1	NA	NA	NA
Il5	NA	NA	NA
Fez1	NA	NA	NA
Nlrp1b	NA	NA	NA
Gm49344	NA	NA	NA
Kif1a	NA	NA	NA
C630043F03Rik	NA	NA	NA
Olfr1093	NA	NA	NA
Cracr2a	NA	NA	NA
Arcn1	NA	NA	NA
Gm44607	NA	NA	NA
Fam114a2	NA	NA	NA
Tacc2	NA	NA	NA
Gm8479	NA	NA	NA
Rab2b	NA	NA	NA
Adgrg5	NA	NA	NA
AC151266.1	NA	NA	NA
Bphl	NA	NA	NA
Olfr1450	NA	NA	NA
Sirt5	NA	NA	NA
Blk	NA	NA	NA
Gm8883	NA	NA	NA
Rorb	NA	NA	NA
Gars	NA	NA	NA
6530402F18Rik	NA	NA	NA
Catsperd	NA	NA	NA
Abcc1	NA	NA	NA
Kpna4	NA	NA	NA
Nrip2	NA	NA	NA
Gm6567	NA	NA	NA
Obscn	NA	NA	NA
Svet1	NA	NA	NA
3200001D21Rik	NA	NA	NA
Gm42436	NA	NA	NA
Rhox2a	NA	NA	NA
Gm46364	NA	NA	NA
Mboat7	NA	NA	NA
Ssna1	NA	NA	NA
Lmf1	NA	NA	NA
Cdc16	NA	NA	NA
Spta1	NA	NA	NA
Fbxw5	NA	NA	NA
Gas1	NA	NA	NA
Nlrp5-ps	NA	NA	NA
Ciart	NA	NA	NA
Gm16178	NA	NA	NA
Tmem35a	NA	NA	NA
Msrb1	NA	NA	NA
Mmp19	NA	NA	NA
Cntn4	NA	NA	NA
Efhc2	NA	NA	NA
Gm6479	NA	NA	NA
Clpx	NA	NA	NA
Med25	NA	NA	NA
Gm37407	NA	NA	NA
Lrg1	NA	NA	NA
Nrd1	NA	NA	NA
Ikzf2	NA	NA	NA
Olfr196	NA	NA	NA
Lman1	NA	NA	NA
Cnih1	NA	NA	NA
Olfr1098	NA	NA	NA
Abhd1	NA	NA	NA
Gm10791	NA	NA	NA
Fam90a1b	NA	NA	NA
Gm42639	NA	NA	NA
Gm3216	NA	NA	NA
Vdac2	NA	NA	NA
Mapk8	NA	NA	NA
Rab18	NA	NA	NA
Gm14849	NA	NA	NA
Gm43889	NA	NA	NA
Gad2	NA	NA	NA
Rfng	NA	NA	NA
Gm37461	NA	NA	NA
Snx10	NA	NA	NA
Gm14857	NA	NA	NA
4921504A21Rik	NA	NA	NA
Lrfn3	NA	NA	NA
Gm8043	NA	NA	NA
Gm15304	NA	NA	NA
Gbp8	NA	NA	NA
Gm10419	NA	NA	NA
Tmem33	NA	NA	NA
Svbp	NA	NA	NA
Rorc	NA	NA	NA
Nlrp4d	NA	NA	NA
Zdbf2	NA	NA	NA
Gm12250	NA	NA	NA
Vmn2r-ps132	NA	NA	NA
Hhatl	NA	NA	NA
Adgrg1	NA	NA	NA
Fmod	NA	NA	NA
Calml4	NA	NA	NA
Gm18990	NA	NA	NA
Dytn	NA	NA	NA
Gm27155	NA	NA	NA
Eif3f	NA	NA	NA
Olfr490	NA	NA	NA
Trim2	NA	NA	NA
C1ra	NA	NA	NA
Nalcn	NA	NA	NA
Atg16l1	NA	NA	NA
Olfr1050-ps1	NA	NA	NA
Cenpi	NA	NA	NA
Tfcp2l1	NA	NA	NA
Fkbp8	NA	NA	NA
Ccbe1	NA	NA	NA
Sdhd	NA	NA	NA
Csnk1e	NA	NA	NA
Abhd11	NA	NA	NA
Dlgap2	NA	NA	NA
Amz1	NA	NA	NA
Chchd7	NA	NA	NA
Cavin2	NA	NA	NA
Gbp2b	NA	NA	NA
Vmn2r66	NA	NA	NA
Clec10a	NA	NA	NA
Irf9	NA	NA	NA
Pcyt2	NA	NA	NA
Kcna5	NA	NA	NA
St3gal4	NA	NA	NA
Gm4675	NA	NA	NA
Dcaf12	NA	NA	NA
Gm11482	NA	NA	NA
Ppm1h	NA	NA	NA
Slco4a1	NA	NA	NA
H2-Q5	NA	NA	NA
Trim35	NA	NA	NA
Gm49492	NA	NA	NA
Uroc1	NA	NA	NA
Ssr2	NA	NA	NA
Gm46344	NA	NA	NA
Slc25a5	NA	NA	NA
Apip	NA	NA	NA
Olfr703	NA	NA	NA
Cops7a	NA	NA	NA
9130227L01Rik	NA	NA	NA
Tnfrsf13c	NA	NA	NA
Zfp946	NA	NA	NA
Gm29640	NA	NA	NA
Gm37393	NA	NA	NA
Limk2	NA	NA	NA
Gm45662	NA	NA	NA
Hcls1	NA	NA	NA
Cep72	NA	NA	NA
Galnt11	NA	NA	NA
Dpysl3	NA	NA	NA
Bckdk	NA	NA	NA
Olfr654	NA	NA	NA
Syvn1	NA	NA	NA
Csnk2a1-ps1	NA	NA	NA
Adcy9	NA	NA	NA
Tarbp2	NA	NA	NA
2010016I18Rik	NA	NA	NA
Adck2	NA	NA	NA
Ampd1	NA	NA	NA
Tsc22d1	NA	NA	NA
Psmd12	NA	NA	NA
Gm16675	NA	NA	NA
Olfr1123	NA	NA	NA
Timm23	NA	NA	NA
Slc45a2	NA	NA	NA
Uqcrfs1	NA	NA	NA
Gps2	NA	NA	NA
Sla2	NA	NA	NA
Mtmr14	NA	NA	NA
Tnfsf14	NA	NA	NA
Hnf1b	NA	NA	NA
2900052N01Rik	NA	NA	NA
Ttc37	NA	NA	NA
Gm48225	NA	NA	NA
BC055324	NA	NA	NA
Rhbdl3	NA	NA	NA
4932413F04Rik	NA	NA	NA
Nckipsd	NA	NA	NA
Sco2	NA	NA	NA
Lrp10	NA	NA	NA
Foxo1	NA	NA	NA
Slc7a1	NA	NA	NA
Gm43569	NA	NA	NA
A530016L24Rik	NA	NA	NA
Mfn2	NA	NA	NA
